#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
154,Will Vest,DET,4,4,5,68,0,68,9.2,2.8,0.75,0.295,73.60%,,3.3,3.2,1.2
155,Cristian Javier,HOU,8,10,0,28,28,148,8.41,3.85,1.47,0.278,71.00%,,4.67,4.78,1.2
156,Bryce Elder,ATL,7,8,0,27,21,124,7.45,2.98,1.11,0.301,69.50%,,4.44,4.19,1.2
157,Trevor Megill,MIL,5,3,11,66,0,66,11.14,3.19,1.01,0.291,77.00%,,3.28,3.26,1.2
158,Kumar Rocker,TEX,6,7,0,42,16,106,8.11,2.78,1.13,0.296,70.70%,,4.18,4.01,1.2
159,Luis Morales,ATH,7,8,0,33,19,119,8,3.57,1.3,0.288,71.20%,,4.46,4.54,1.1
160,Robby Snelling,MIA,5,6,0,16,16,86,7.76,3.14,1.08,0.295,72.90%,,4.03,4.1,1.1
161,Sean Burke,CHW,7,10,0,26,26,141,8.45,4.02,1.43,0.289,71.30%,,4.74,4.79,1.1
162,Ryan Helsley,BAL,4,3,25,64,0,64,10.55,3.29,0.98,0.293,75.60%,,3.38,3.38,1.1
163,Kyle Leahy,STL,6,7,0,46,18,132,7.4,3.28,1.04,0.295,71.40%,,4.19,4.18,1.1
164,Adrian Morejon,SDP,6,5,3,68,0,68,9.09,3.01,0.8,0.289,73.50%,,3.39,3.34,1.1
165,Grant Holmes,ATL,8,7,0,35,19,129,8.56,3.46,1.17,0.3,72.40%,,4.19,4.22,1.1
166,Tanner Scott,LAD,4,3,4,63,0,63,10.27,3.55,0.94,0.288,74.50%,,3.47,3.53,1.1
167,Johan Oviedo,BOS,7,6,0,55,15,115,8.74,3.73,1.12,0.294,71.10%,,4.25,4.23,1.1
168,Logan Allen,CLE,7,8,0,29,21,121,7.4,3.46,1.23,0.294,73.00%,,4.3,4.53,1.1
169,Jeremiah Estrada,SDP,5,3,0,70,0,70,12.26,3.65,1.05,0.285,76.70%,,3.29,3.24,1.1
170,Lucas Giolito,,7,8,0,24,24,133,8.04,3.47,1.41,0.293,71.00%,,4.68,4.64,1.1
171,Michael Lorenzen,COL,7,10,0,26,26,143,7.15,3.29,1.5,0.303,69.30%,,5.08,4.92,1.1
172,Jeff Hoffman,TOR,5,4,26,63,0,63,10.9,3.3,1.11,0.281,76.10%,,3.39,3.59,1
173,Hunter Harvey,CHC,4,2,5,52,0,52,10.04,2.51,0.85,0.288,75.50%,,3.09,3.09,1
174,Lance McCullers Jr.,HOU,7,6,0,33,19,109,8.68,4.33,1.13,0.296,71.60%,,4.39,4.47,1
175,Matt Brash,SEA,4,3,3,63,0,63,10.82,3.66,0.71,0.291,75.50%,,3.1,3.13,1
