#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
365,Drew Gilbert,SFG,65,258,7,28,27,3,8.40%,20.30%,0.149,0.268,0.231,0.305,0.38,0.301,94,-0.1,-1.9,-2.7,0.4
366,Johnathan Rodríguez,CLE,47,192,7,21,22,1,8.80%,28.60%,0.166,0.32,0.246,0.317,0.412,0.317,104,-0.3,0.7,-3.3,0.4
367,George Valera,CLE,74,335,13,41,37,2,10.30%,27.60%,0.177,0.283,0.227,0.311,0.403,0.312,101,-0.4,-0.2,-7.5,0.4
368,Jake Fraley,TBR,52,210,6,23,23,6,9.10%,20.00%,0.144,0.294,0.252,0.326,0.396,0.317,102,0,0.4,-3.8,0.4
369,Kristian Campbell,BOS,32,130,3,14,14,2,9.90%,25.60%,0.138,0.322,0.249,0.334,0.387,0.319,100,-0.1,-0.1,-0.7,0.4
370,Juan Brito,CLE,30,120,3,13,12,2,10.60%,20.00%,0.135,0.271,0.23,0.318,0.365,0.302,94,-0.1,-0.9,0.5,0.4
371,Will Benson,CIN,76,305,11,36,35,8,10.80%,31.00%,0.183,0.294,0.222,0.31,0.405,0.312,94,-0.4,-2.5,-4.1,0.4
372,Connor Wong,BOS,58,232,5,24,24,4,6.90%,24.90%,0.131,0.304,0.241,0.301,0.372,0.295,83,-0.3,-4.8,3.4,0.4
373,Josh Rojas,,59,238,4,25,22,5,9.10%,22.00%,0.112,0.293,0.237,0.309,0.349,0.292,85,-0.2,-4.4,-0.1,0.4
374,Andrew Knizner,SEA,32,122,2,12,11,1,7.40%,22.60%,0.115,0.268,0.219,0.289,0.334,0.277,82,-0.2,-2.7,2,0.4
375,Tyler Austin,CHC,65,263,11,32,33,1,8.10%,22.50%,0.19,0.284,0.248,0.312,0.438,0.321,107,-0.7,1.5,-6.7,0.4
376,Robert Hassell III,WSN,63,246,5,24,24,5,7.30%,23.40%,0.114,0.303,0.243,0.302,0.357,0.29,84,0,-4.6,-0.1,0.4
377,Travis Bazzana,CLE,43,175,3,18,16,3,11.00%,28.00%,0.12,0.29,0.215,0.308,0.335,0.289,85,-0.1,-3.2,0.7,0.4
378,Tommy Pham,,84,364,9,41,37,6,9.10%,22.90%,0.138,0.301,0.246,0.317,0.384,0.307,96,-0.9,-2.9,-6,0.4
379,Austin Wynns,ATH,27,107,3,11,11,1,6.80%,28.00%,0.14,0.299,0.231,0.29,0.371,0.289,81,-0.2,-2.6,2.8,0.4
380,César Salazar,HOU,35,143,3,14,13,1,9.10%,21.80%,0.113,0.249,0.205,0.296,0.318,0.276,76,-0.2,-4.3,2.1,0.4
381,Ryan Bliss,SEA,34,133,3,14,13,8,8.50%,26.30%,0.135,0.284,0.222,0.294,0.356,0.287,89,0.3,-1.5,0.3,0.3
382,James Outman,MIN,44,176,6,20,19,3,10.10%,33.80%,0.168,0.3,0.213,0.302,0.382,0.3,90,0.1,-1.9,-0.8,0.3
383,Gio Urshela,,47,190,4,19,20,1,6.00%,18.90%,0.118,0.303,0.258,0.305,0.376,0.298,89,-0.4,-2.8,-0.2,0.3
384,Mauricio Dubón,ATL,56,220,4,23,23,2,5.00%,12.80%,0.112,0.287,0.263,0.302,0.374,0.295,87,-0.2,-3.5,-0.5,0.3
385,Zach Cole,HOU,66,268,9,30,30,7,8.40%,37.60%,0.169,0.32,0.213,0.287,0.383,0.291,86,0.1,-4.4,-1.6,0.3
386,Zack Gelof,ATH,35,140,5,16,16,4,8.40%,32.20%,0.165,0.3,0.222,0.291,0.387,0.296,86,0.3,-2.1,0.5,0.3
387,Nick Allen,HOU,40,151,2,15,13,4,8.00%,19.80%,0.087,0.287,0.235,0.3,0.322,0.278,77,0.1,-4.1,2.2,0.3
388,Travis d'Arnaud,LAA,42,168,5,17,18,1,6.30%,28.50%,0.156,0.273,0.216,0.274,0.373,0.282,78,-0.5,-4.9,2.8,0.3
389,David Hamilton,BOS,32,130,3,15,13,11,8.70%,23.70%,0.137,0.28,0.227,0.298,0.364,0.292,81,1,-1.8,0.6,0.3
390,Braxton Fulford,COL,51,201,6,22,22,2,7.40%,26.90%,0.161,0.308,0.24,0.308,0.401,0.309,84,-0.1,-4,3.5,0.3
391,Randal Grichuk,,45,190,7,22,24,1,6.20%,20.80%,0.182,0.284,0.251,0.303,0.433,0.317,102,-0.2,0.4,-3.6,0.3
392,James McCann,ARI,42,164,5,17,18,1,5.50%,25.30%,0.146,0.3,0.242,0.291,0.388,0.296,87,-0.5,-3,2.1,0.3
393,Jon Berti,,40,158,2,17,15,8,7.10%,20.20%,0.101,0.308,0.254,0.313,0.354,0.295,87,0.7,-1.7,-0.5,0.3
394,Everson Pereira,CHW,61,245,9,26,28,4,8.10%,31.90%,0.168,0.292,0.22,0.291,0.387,0.297,89,-0.2,-3.4,-1.8,0.3
395,Santiago Espinal,CIN,46,186,2,19,17,2,6.70%,13.50%,0.093,0.291,0.26,0.314,0.353,0.294,87,-0.1,-2.9,-0.2,0.3
396,Brett Harris,ATH,42,164,4,18,17,2,9.20%,21.70%,0.132,0.28,0.234,0.314,0.366,0.301,89,-0.2,-2.2,-0.2,0.3
397,Jimmy Crooks,STL,25,103,2,10,11,0,6.90%,26.20%,0.131,0.302,0.236,0.294,0.366,0.289,86,-0.1,-1.9,2,0.3
398,Oswald Peraza,LAA,60,240,7,25,24,7,7.50%,26.10%,0.139,0.279,0.224,0.291,0.363,0.288,82,0.4,-4.8,-0.3,0.3
399,Daniel Schneemann,CLE,49,202,5,21,19,4,9.90%,27.30%,0.133,0.282,0.217,0.298,0.35,0.288,84,-0.2,-4,0.2,0.3
400,Jake Bauers,MIL,73,287,11,33,33,7,12.10%,30.30%,0.176,0.279,0.214,0.315,0.39,0.31,98,-0.5,-1,-5.5,0.3
401,Jose Iglesias,,42,171,2,16,16,2,5.40%,16.70%,0.097,0.3,0.258,0.307,0.355,0.291,85,-0.3,-3.4,0.6,0.3
402,Sam Haggerty,TEX,43,186,3,22,17,9,8.30%,21.90%,0.122,0.31,0.25,0.318,0.372,0.304,95,0.6,-0.5,-2.9,0.3
403,Masataka Yoshida,BOS,43,179,5,21,21,2,6.70%,13.90%,0.151,0.301,0.279,0.337,0.429,0.334,110,-0.4,1.7,-4.9,0.3
404,Jorge Mateo,,51,201,4,22,20,14,5.70%,24.80%,0.132,0.283,0.227,0.275,0.359,0.276,75,1.5,-4.5,0.7,0.3
405,Nick Loftin,KCR,34,136,3,15,14,2,10.10%,15.90%,0.128,0.279,0.247,0.33,0.374,0.312,97,-0.1,-0.7,-1.1,0.3
406,Andrés Chaparro,WSN,64,274,10,30,33,1,8.50%,24.10%,0.176,0.279,0.236,0.307,0.411,0.312,99,-0.5,-0.7,-5.4,0.3
407,Luke Raley,SEA,55,227,8,25,27,3,7.40%,30.50%,0.172,0.292,0.223,0.304,0.395,0.307,102,-0.3,0.3,-5.2,0.3
408,Ryan Waldschmidt,ARI,25,101,2,12,10,2,11.30%,22.20%,0.131,0.307,0.247,0.342,0.378,0.32,104,0,0.4,-0.9,0.3
409,Nick Sogard,BOS,51,205,2,20,18,4,10.50%,22.20%,0.098,0.305,0.24,0.324,0.338,0.297,85,-0.3,-4.1,-0.1,0.3
410,Jordan Beck,COL,102,440,13,50,52,13,7.90%,27.70%,0.162,0.323,0.248,0.312,0.41,0.314,87,0.3,-6.6,-5.2,0.3
411,Dylan Carlson,,43,173,4,19,18,3,10.20%,23.60%,0.142,0.287,0.232,0.319,0.374,0.307,96,0,-0.9,-2.1,0.3
412,Michael Conforto,,72,295,10,32,33,1,10.20%,24.70%,0.162,0.275,0.227,0.315,0.389,0.309,97,-0.6,-1.5,-5.7,0.3
413,Luke Maile,,31,121,2,12,11,1,9.20%,28.90%,0.114,0.294,0.216,0.297,0.33,0.281,77,-0.2,-3.4,2.8,0.3
414,Johan Rojas,PHI,32,124,2,13,12,6,5.70%,21.10%,0.11,0.302,0.247,0.295,0.356,0.286,80,0.6,-2.3,1,0.3
415,Daniel Susac,SFG,22,91,2,9,9,1,5.60%,27.30%,0.13,0.3,0.231,0.281,0.361,0.281,81,-0.1,-2.1,1.9,0.3
416,Andruw Monasterio,MIL,38,151,2,16,14,4,9.40%,24.30%,0.108,0.302,0.234,0.313,0.342,0.292,86,0.1,-2.4,0.1,0.3
417,Jared Young,NYM,29,119,4,14,14,1,9.60%,24.60%,0.171,0.283,0.234,0.317,0.405,0.317,106,-0.2,0.6,-1.9,0.3
418,Nathan Church,STL,25,100,2,11,10,2,6.60%,14.80%,0.115,0.289,0.259,0.314,0.374,0.302,95,0,-0.6,0,0.3
419,Tyler Fitzgerald,SFG,36,146,4,15,15,4,6.40%,29.00%,0.142,0.298,0.226,0.283,0.369,0.285,83,0.3,-2.6,0.4,0.3
420,Jesus Rodriguez,SFG,13,52,1,5,5,1,8.80%,16.90%,0.105,0.302,0.259,0.329,0.364,0.306,98,0,-0.2,1.1,0.3
421,Starling Marte,,60,254,6,28,27,6,6.30%,21.80%,0.13,0.321,0.264,0.32,0.394,0.313,100,0,-0.1,-5.9,0.3
422,Tyler Locklear,ARI,66,266,8,30,30,5,8.70%,27.20%,0.156,0.31,0.24,0.318,0.396,0.313,99,-0.1,-0.4,-5.9,0.3
423,Jacob Melton,TBR,38,150,4,17,16,7,7.60%,25.80%,0.151,0.283,0.228,0.291,0.38,0.293,86,0.5,-2,-0.5,0.3
424,Sebastian Walcott,TEX,23,92,2,10,9,3,8.90%,23.80%,0.121,0.29,0.23,0.303,0.35,0.29,85,0,-1.6,0.9,0.3
425,Jett Williams,NYM,25,100,2,11,10,3,10.40%,26.50%,0.133,0.285,0.218,0.306,0.351,0.293,89,0.1,-1.2,0.4,0.3
426,LaMonte Wade Jr.,,53,225,6,26,23,1,13.00%,22.60%,0.144,0.281,0.231,0.338,0.375,0.316,102,-0.9,-0.4,-4.6,0.3
427,Alejandro Osuna,TEX,23,95,2,11,10,3,9.40%,21.30%,0.138,0.3,0.249,0.329,0.387,0.315,103,0,0.4,-1.2,0.3
428,Andy Ibáñez,,34,145,3,16,14,2,6.90%,19.90%,0.127,0.29,0.245,0.304,0.372,0.297,89,-0.3,-2.3,-0.1,0.3
429,Anthony Rendon,LAA,38,168,3,18,14,3,9.80%,18.20%,0.113,0.27,0.231,0.316,0.344,0.295,87,0,-2.6,-0.7,0.3
430,Alex Verdugo,,56,239,5,26,24,2,7.70%,15.80%,0.127,0.286,0.254,0.316,0.381,0.306,95,-0.5,-1.9,-3.8,0.3
431,Jahmai Jones,DET,34,146,4,18,15,3,10.70%,25.60%,0.165,0.302,0.238,0.33,0.402,0.322,106,0,1,-3.6,0.2
432,Christian Koss,SFG,38,151,3,15,15,3,4.90%,22.90%,0.118,0.302,0.243,0.289,0.362,0.285,83,0.1,-3,0.4,0.2
433,Nick Yorke,PIT,38,153,3,15,15,3,7.10%,21.70%,0.116,0.314,0.255,0.311,0.371,0.3,89,0,-2,-0.7,0.2
434,Austin Hays,,98,410,12,45,49,4,6.70%,25.20%,0.161,0.3,0.242,0.298,0.403,0.303,93,-0.4,-3.7,-7.9,0.2
435,Walker Jenkins,MIN,27,111,2,12,11,2,9.70%,23.20%,0.127,0.302,0.24,0.322,0.368,0.306,94,0,-0.8,-0.8,0.2
436,Esteury Ruiz,LAD,17,69,2,9,7,5,8.10%,23.00%,0.147,0.298,0.244,0.318,0.391,0.311,99,0.4,0.3,-0.4,0.2
437,Carlos Santana,,72,301,9,33,34,3,10.20%,19.30%,0.149,0.26,0.231,0.313,0.38,0.305,94,-1,-3,-4.9,0.2
438,Ryan Mountcastle,BAL,41,174,6,20,22,1,6.20%,25.00%,0.166,0.308,0.253,0.303,0.419,0.313,101,-0.1,0.2,-3.9,0.2
439,Elias Díaz,,33,129,3,13,13,0,6.70%,24.50%,0.133,0.275,0.224,0.281,0.357,0.279,77,-0.4,-4,2.5,0.2
440,Drew Millas,WSN,13,53,1,5,5,1,8.10%,17.10%,0.119,0.281,0.244,0.309,0.363,0.295,88,0,-0.8,1,0.2
441,Dominic Keegan,TBR,19,76,2,8,7,0,7.70%,27.80%,0.129,0.29,0.222,0.288,0.351,0.282,78,-0.1,-2.1,1.6,0.2
442,Carlos Cortes,ATH,31,126,4,15,15,1,8.90%,21.60%,0.17,0.278,0.24,0.311,0.41,0.314,98,-0.2,-0.5,-1.8,0.2
443,Ryan Fitzgerald,MIN,31,122,3,13,12,2,8.20%,26.30%,0.141,0.28,0.22,0.291,0.36,0.286,81,-0.2,-2.9,0.7,0.2
444,Brendan Rodgers,,45,187,4,19,19,1,7.10%,26.90%,0.125,0.302,0.232,0.293,0.357,0.286,81,0,-4.2,-0.1,0.2
445,Bryan Torres,STL,16,67,1,7,6,2,11.00%,18.20%,0.087,0.318,0.262,0.346,0.349,0.311,101,0,0.1,-0.3,0.2
446,Jack Suwinski,PIT,62,243,9,27,28,5,11.20%,30.50%,0.179,0.274,0.212,0.307,0.391,0.305,93,-0.1,-2.1,-4,0.2
447,Nick Madrigal,,30,122,1,12,11,2,5.60%,11.90%,0.089,0.292,0.263,0.316,0.352,0.296,88,-0.2,-1.9,-0.2,0.2
448,Paul DeJong,,58,238,9,24,27,2,5.90%,31.30%,0.158,0.27,0.209,0.264,0.367,0.275,74,-0.5,-7.9,1.8,0.2
449,Rowdy Tellez,,74,305,14,35,40,1,7.80%,24.30%,0.193,0.267,0.234,0.297,0.427,0.313,100,-0.8,-1,-7.4,0.2
450,Max Schuemann,ATH,30,119,2,13,10,3,10.10%,23.60%,0.105,0.289,0.226,0.314,0.331,0.29,82,0.1,-2.5,0.3,0.2
451,Curtis Mead,CHW,18,76,2,8,8,1,6.70%,21.00%,0.133,0.3,0.249,0.311,0.382,0.304,94,0,-0.6,-0.2,0.2
452,Enmanuel Valdez,PIT,18,73,2,8,8,1,9.20%,22.10%,0.172,0.276,0.237,0.311,0.408,0.313,98,-0.1,-0.2,-0.3,0.2
453,Kyren Paris,LAA,34,134,4,14,13,5,9.50%,32.70%,0.147,0.286,0.205,0.288,0.352,0.284,79,0.3,-3,0.3,0.2
