#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
355,Eduard Bazardo,SEA,3,3,1,68,0,68,9.25,3.06,1.13,0.285,74.40%,40.00%,3.7,3.84,0.3
356,Jimmy Herget,COL,4,5,2,76,2,83.1,7.87,2.95,1.44,0.305,69.90%,37.50%,4.85,4.6,0.3
357,Jordan Hicks,BOS,3,3,0,58,0,58,8.48,3.63,0.89,0.31,72.20%,50.50%,3.97,3.92,0.3
358,Gage Jump,ATH,2,2,0,5,5,27.2,7.55,3.29,1.27,0.297,71.90%,42.50%,4.42,4.51,0.3
359,Mitch Bratt,ARI,2,2,0,15,5,37.2,7.63,2.44,1.26,0.296,72.00%,39.00%,4.2,4.19,0.3
360,Justin Topa,MIN,3,3,12,63,0,63,7.64,3.07,0.94,0.308,71.80%,48.80%,4.04,3.95,0.3
361,Eric Orze,MIN,3,3,3,62,0,62,8.68,4.02,1.07,0.297,72.80%,42.30%,4.14,4.21,0.3
362,Justin Lawrence,PIT,3,3,1,58,0,58,8.85,4.15,0.88,0.304,72.90%,46.40%,3.94,3.99,0.3
363,Ian Hamilton,ATL,3,2,0,54,0,54,9.4,4.03,0.96,0.302,73.90%,45.30%,3.85,3.9,0.3
364,Kenley Jansen,DET,3,3,23,60,0,60,9.38,3.27,1.24,0.281,72.60%,29.40%,4.09,4.04,0.3
365,Erik Miller,SFG,3,3,2,61,0,61,10.28,4.59,0.84,0.295,76.10%,45.40%,3.45,3.71,0.3
366,Cooper Criswell,NYM,4,4,0,53,3,68,7.24,2.64,1.06,0.298,72.10%,47.90%,3.98,4.1,0.3
367,Evan Phillips,,1,1,0,26,0,26,9.99,2.87,0.96,0.295,74.80%,42.00%,3.4,3.37,0.3
368,Jonathan Loáisiga,,2,2,0,46,0,46,7.92,3.06,0.9,0.301,73.20%,50.60%,3.72,3.81,0.3
369,Colin Selby,BAL,3,3,0,58,0,58,9.32,3.77,0.99,0.303,74.00%,46.90%,3.82,3.87,0.3
370,Jonathan Bowlan,PHI,3,3,0,56,0,56,8.5,2.87,1.16,0.292,73.90%,44.40%,3.84,3.99,0.3
371,Ty Johnson,TBR,2,2,0,5,5,27.2,8.54,3.33,1.39,0.292,72.10%,40.00%,4.45,4.52,0.3
372,Carson Whisenhunt,SFG,2,3,0,14,6,44.1,7.15,3.19,1.16,0.296,72.00%,44.30%,4.28,4.4,0.3
373,Tobias Myers,MIL,3,3,0,45,3,59.2,8.04,2.39,1.36,0.289,73.00%,37.30%,4.14,4.23,0.3
374,Luis García,,3,3,0,54,0,54,8.14,3.27,0.92,0.303,72.50%,49.00%,3.87,3.87,0.3
375,River Ryan,LAD,3,3,0,14,6,44.2,7.35,3.44,1.36,0.296,71.20%,43.80%,4.66,4.76,0.3
376,Victor Vodnik,COL,3,3,22,64,0,64,8.85,4.26,1.03,0.319,72.10%,48.30%,4.39,4.17,0.3
377,James McArthur,KCR,2,2,0,40,0,40,8.09,2.96,0.96,0.304,72.50%,47.10%,3.88,3.85,0.3
378,Ryan Bergert,KCR,4,4,0,32,8,68.1,7.49,3.53,1.28,0.296,70.70%,38.00%,4.65,4.61,0.3
