#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
458,Sam Hentges,SFG,3,2,0,54,0,54,9.31,3.06,0.8,0.301,74.50%,,3.34,3.36,0.1
459,Tyler Alexander,TEX,4,5,0,69,3,84,7.25,2.51,1.49,0.29,72.20%,,4.5,4.61,0.1
460,Mike Clevinger,,3,4,0,10,10,54,6.74,3.24,1.5,0.289,69.80%,,4.97,5.02,0.1
461,Joey Lucchesi,,2,2,0,47,0,47,6.81,3.25,1,0.3,72.70%,,4.06,4.26,0.1
462,AJ Blubaugh,HOU,2,3,0,29,3,44,8.07,3.61,1.38,0.29,72.10%,,4.54,4.65,0.1
463,Porter Hodge,CHC,3,3,1,60,0,60,9.76,4.47,1.05,0.291,74.70%,,3.87,4.09,0.1
464,Landon Knack,LAD,2,2,0,17,3,32,8.04,3.44,1.64,0.285,71.90%,,4.83,4.96,0.1
465,Michael Kopech,,2,2,0,46,0,46,9.92,4.85,1.16,0.289,72.90%,,4.3,4.36,0.1
466,Daniel Lynch IV,KCR,3,3,0,59,0,59,7.08,2.77,1.11,0.3,71.90%,,4.15,4.21,0.1
467,Matt Waldron,SDP,1,2,0,5,5,27,6.88,2.8,1.46,0.29,70.40%,,4.72,4.8,0.1
468,Brent Headrick,NYY,3,2,0,53,0,53,9.08,3.02,1.29,0.286,75.00%,,3.89,4.13,0.1
469,Tommy Kahnle,,3,3,0,63,0,63,8.26,4.17,1.04,0.3,72.90%,,4.19,4.31,0.1
470,Keegan Thompson,CIN,3,3,0,52,2,59,8.78,3.7,1.36,0.296,72.50%,,4.48,4.55,0.1
471,Tyler Uberstine,BOS,1,2,0,20,2,27,8.13,2.85,1.31,0.295,71.40%,,4.37,4.31,0.1
472,Kyle Nicolas,PIT,3,3,0,56,0,56,9.03,4.18,1.02,0.298,73.10%,,4.07,4.13,0.1
473,Huascar Brazobán,NYM,3,3,0,56,0,56,8.57,3.93,1.01,0.292,73.30%,,3.94,4.14,0.1
474,Zack Kelly,BOS,3,3,0,56,0,56,8.87,3.98,1.1,0.301,72.50%,,4.23,4.21,0.1
475,Anthony Banda,LAD,3,3,0,55,0,55,8.83,3.88,1.22,0.291,74.10%,,4.11,4.36,0.1
476,Adam Mazur,MIA,1,2,0,20,2,27,7.18,2.41,1.26,0.295,71.60%,,4.26,4.26,0.1
477,Brock Stewart,LAD,2,1,0,32,0,32,10.74,3.46,1.14,0.287,75.50%,,3.6,3.68,0.1
478,Lou Trivino,,2,2,0,43,0,43,8,3.63,1.17,0.294,72.10%,,4.3,4.4,0.1
479,Ty Madden,DET,1,2,0,20,2,27,8.04,3.24,1.19,0.292,72.00%,,4.23,4.26,0.1
480,A.J. Puk,ARI,2,1,0,32,0,32,10.26,3.11,0.96,0.296,74.50%,,3.48,3.43,0.1
481,Luke Little,CHC,2,2,0,42,0,42,10.51,4.94,0.76,0.296,76.20%,,3.36,3.75,0.1
482,Luis Perales,WSN,2,2,0,26,2,33,8.62,3.99,1.17,0.289,73.10%,,4.19,4.36,0.1
483,Thomas Harrington,PIT,2,3,0,15,5,38,6.9,2.85,1.46,0.291,70.30%,,4.78,4.8,0.1
484,Derek Law,,1,1,0,28,0,28,7.88,3.22,1.07,0.299,72.60%,,4.07,4.12,0.1
485,Tink Hence,STL,1,1,0,16,2,23,8.04,3.35,1.13,0.293,72.80%,,4.09,4.2,0.1
486,Pierson Ohl,MIN,3,3,2,60,0,60,7.28,1.88,1.33,0.294,71.80%,,4.19,4.16,0.1
487,Matt Gage,SFG,3,3,0,56,0,56,7.92,3.24,0.95,0.299,73.50%,,3.81,3.94,0.1
488,Jesse Scholtens,TBR,2,2,0,36,2,43,7.8,2.57,1.35,0.295,72.50%,,4.27,4.31,0.1
489,Jason Adam,SDP,2,2,0,46,0,46,9.86,3.32,1.03,0.287,73.80%,,3.64,3.71,0.1
490,Alan Rangel,PHI,2,2,0,23,3,38,7.39,2.8,1.57,0.285,71.80%,,4.64,4.79,0.1
491,Ben Joyce,LAA,2,2,4,34,0,34,10.98,4.16,0.9,0.295,75.70%,,3.42,3.54,0.1
492,Carson Seymour,SFG,1,2,0,22,2,29,7.56,3.1,0.93,0.303,72.10%,,3.93,3.97,0.1
493,Bryan Hoeing,SDP,2,2,0,28,2,35,7.44,3,1.14,0.3,72.30%,,4.18,4.23,0.1
494,Carlos Rodriguez,MIL,2,2,0,28,2,35,8.35,3.47,1.38,0.282,73.00%,,4.34,4.57,0.1
495,Seth Halvorsen,COL,3,3,3,60,0,60,8.03,4.14,1.19,0.314,70.90%,,4.76,4.57,0.1
496,Jhonathan Díaz,SEA,2,2,0,24,2,31,6.8,2.31,1.04,0.29,73.40%,,3.7,4.04,0.1
497,Jovani Morán,BOS,3,2,0,52,0,52,9.53,3.89,0.94,0.301,74.30%,,3.73,3.77,0.1
498,Nick Sandlin,TOR,2,2,0,41,0,41,8.86,4.09,1.21,0.29,72.90%,,4.28,4.43,0.1
499,Jackson Rutledge,WSN,3,3,0,55,0,55,7.91,3.34,1.24,0.289,72.20%,,4.27,4.45,0.1
500,Shane Murphy,CHW,2,2,0,28,2,35,6.34,2.37,1.37,0.289,72.70%,,4.3,4.6,0.1
501,Jack Wenninger,NYM,1,1,0,2,2,9,7.31,3.23,1.19,0.294,71.80%,,4.31,4.43,0.1
502,Brennan Bernardino,COL,3,3,0,55,0,55,8.23,3.97,1.11,0.317,71.80%,,4.52,4.41,0.1
503,Paul Sewald,,3,3,0,53,0,53,8.96,3.15,1.49,0.282,72.70%,,4.41,4.49,0.1
504,Jean Cabrera,PHI,1,1,0,3,3,18,6.32,3.67,1.36,0.293,70.30%,,4.88,5.07,0.1
505,Mike Vasil,CHW,3,4,3,72,0,72,7.4,3.44,1.16,0.295,71.70%,,4.33,4.48,0.1
506,Carson Palmquist,COL,2,3,0,27,5,49,7.99,4.31,1.62,0.301,69.40%,,5.47,5.31,0.1
507,Joe Ross,,3,3,0,52,0,52,7.65,3.22,1.15,0.298,73.00%,,4.14,4.29,0.1
508,James McArthur,KCR,2,2,0,40,0,40,8.09,2.96,0.96,0.304,72.50%,,3.88,3.85,0.1
509,Jack Perkins,ATH,2,2,0,34,0,34,9.49,3.59,1.03,0.294,73.90%,,3.77,3.86,0.1
510,Tyler Gilbert,CHW,3,3,0,56,0,56,7.93,3.23,1.3,0.291,73.70%,,4.2,4.45,0.1
511,Isaac Mattson,PIT,3,3,2,64,0,64,8.31,3.97,1.24,0.289,72.30%,,4.43,4.52,0.1
512,Chris Murphy,CHW,2,3,0,50,0,50,8.36,4.05,1.08,0.295,73.90%,,4.04,4.34,0.1
513,Doug Nikhazy,CLE,2,2,0,32,2,39,8.05,3.83,1.29,0.286,73.40%,,4.33,4.6,0.1
514,Antonio Senzatela,COL,3,4,0,45,3,59,5.86,2.74,1.39,0.32,68.40%,,5.25,4.88,0.1
515,Leandro Lopez,TEX,1,1,0,2,2,9,7.46,4.09,1.22,0.295,71.60%,,4.58,4.72,0.1
516,Ben Kudrna,KCR,1,1,0,14,2,21,6.91,3.8,1.11,0.301,70.70%,,4.58,4.59,0.1
517,Sam Moll,CIN,3,3,0,52,0,52,8.82,3.96,1.13,0.298,73.80%,,4.09,4.29,0.1
518,Ryan Johnson,LAA,1,1,0,26,0,26,8.7,2.99,1.12,0.297,73.70%,,3.86,3.93,0.1
519,Sam Aldegheri,LAA,3,4,0,28,6,58,6.92,4.08,1.48,0.288,71.20%,,4.98,5.27,0.1
520,Jaxon Wiggins,CHC,1,1,0,2,2,9,7.95,4.05,1.23,0.29,72.10%,,4.44,4.61,0.1
521,Justin Hagenman,NYM,2,2,0,36,0,36,8.26,2.03,1.26,0.285,73.70%,,3.79,3.91,0.1
522,Enyel De Los Santos,HOU,3,3,0,60,0,60,8.8,3.44,1.32,0.291,73.00%,,4.27,4.37,0.1
523,Mitch Spence,ATH,2,2,0,40,0,40,7.63,2.37,1.16,0.302,72.10%,,4.05,4.02,0.1
524,Julian Aguiar,CIN,2,2,0,26,2,33,7.09,2.71,1.49,0.295,71.00%,,4.68,4.77,0.1
525,Yaramil Hiraldo,BAL,2,2,0,44,0,44,9.21,3.3,1.27,0.289,74.00%,,4.01,4.12,0.1
526,Braydon Fisher,TOR,3,3,0,52,0,52,9.79,3.88,1.18,0.29,73.80%,,4.05,4.08,0.1
527,Yohan Ramírez,PIT,2,3,0,50,0,50,8.7,3.65,0.94,0.303,72.30%,,3.99,4.06,0.1
528,Jason Foley,SFG,2,2,0,34,0,34,7.93,2.58,0.84,0.307,72.60%,,3.64,3.56,0.1
