All First Basemen 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Yohandy Morales 1B | WAS ,0,.000,0,0,0,9999
W ,Jeff Malm 1B | TB ,0,.000,0,0,0,9999
Young Guns,Kyle Manzardo 1B | CLE ,0,.000,0,0,0,9999
W ,Alex Binelas 1B | BOS ,0,.000,0,0,0,9999
W ,Neyfy Castillo 1B | ARI ,0,.000,0,0,0,9999
W ,"Eric Wagaman 1B,OF | MIA",0,.000,0,0,0,9999
W ,Jake Holton 1B | DET ,0,.000,0,0,0,9999
W ,Bryson Horne 1B | ATL ,0,.000,0,0,0,9999
W ,Andy Yerzy 1B | CIN ,0,.000,0,0,0,9999
W ,Blaze Jordan 1B | STL ,0,.000,0,0,0,9999
W ,Ruben Ibarra 1B | CIN ,0,.000,0,0,0,9999
W ,Alex Guerrero 1B | NYY ,0,.000,0,0,0,9999
W ,DJ Gladney 1B | CHW ,0,.000,0,0,0,9999
W ,Jonathon Long 1B | CHC ,0,.000,0,0,0,9999
W ,Josiah Sightler 1B | PIT ,0,.000,0,0,0,9999
W ,Jordy Lara 1B | ATL ,0,.000,0,0,0,9999
W ,Daniel Palka 1B | BOS ,0,.000,0,0,0,9999
W ,Justin Yurchak 1B | LAD,0,.000,0,0,0,9999
W ,Matt Oberste 1B | NYM ,0,.000,0,0,0,9999
W ,Jose Ruiz 1B | TEX ,0,.000,0,0,0,9999
W ,Luke Adams 1B | MIL ,0,.000,0,0,0,9999
W ,Keoni Cavaco 1B | MIN ,0,.000,0,0,0,9999
W ,Ramon Mendoza 1B | STL ,0,.000,0,0,0,9999
W ,"Tyler Locklear 1B | ARI ",0,.000,0,0,0,9999
W ,Matt Gorski 1B | PIT ,0,.000,0,0,0,9999
W ,Haydn McGeary 1B | CHC,0,.000,0,0,0,9999
W ,Christian Marrero 1B | CHW ,0,.000,0,0,0,9999
W ,Austin Davidson 1B | WAS ,0,.000,0,0,0,9999
W ,Luis Tejada 1B | LAA ,0,.000,0,0,0,9999
W ,Victor Bericoto 1B | SF,0,.000,0,0,0,9999
W ,Dillan Shrum 1B | KC ,0,.000,0,0,0,9999
W ,KJ Harrison 1B | WAS ,0,.000,0,0,0,9999
W ,Mitch Reeves 1B | CLE ,0,.000,0,0,0,9999
W ,Luis Merejo 1B | CLE ,0,.000,0,0,0,9999
W ,Gabriel Moncada 1B | SEA ,0,.000,0,0,0,9999
W ,R.J. Yeager 1B | STL ,0,.000,0,0,0,9999
W ,Tyler Moore 1B | NYM ,0,.000,0,0,0,9999
W ,Matt Winaker 1B | NYM ,0,.000,0,0,0,9999
W ,Andres Chaparro 1B | WAS,0,.000,0,0,0,9999
W ,Dariel Gomez 1B | NYM ,0,.000,0,0,0,9999
W ,Blake Burke 1B | MIL ,0,.000,0,0,0,9999
W ,Luis Torres 1B | LAA ,0,.000,0,0,0,9999
W ,Rudy Flores 1B | ARI ,0,.000,0,0,0,9999
W ,Justin Foscue 1B | TEX,0,.000,0,0,0,9999
W ,Edgar Alvarez 1B | CHC ,0,.000,0,0,0,9999
W ,Jacob Teter 1B | BAL ,0,.000,0,0,0,9999
W ,Patrick Leonard 1B | MIL ,0,.000,0,0,0,9999
W ,Aidan Longwell 1B | COL ,0,.000,0,0,0,9999
W ,Tyler White 1B | MIN ,0,.000,0,0,0,9999
W ,Tyreque Reed 1B | BOS ,0,.000,0,0,0,9999
W ,Brad Zunica 1B | SD ,0,.000,0,0,0,9999
W ,Collin Ferguson 1B | COL ,0,.000,0,0,0,9999
W ,"Curtis Mead 1B,3B | CHW",0,.000,0,0,0,9999
W ,Johan Barrios 1B | MIL ,0,.000,0,0,0,9999
W ,Tre' Morgan 1B | TB ,0,.000,0,0,0,9999
W ,Endy Rodriguez 1B | PIT ,0,.000,0,0,0,9999
W ,Eric Bitonti 1B | MIL ,0,.000,0,0,0,9999
W ,Wes Kath 1B | CHW ,0,.000,0,0,0,9999
W ,Gabe Snyder 1B | MIN ,0,.000,0,0,0,9999
W ,Mahki Backstrom 1B | ATL ,0,.000,0,0,0,9999
Dawg,"Jared Triolo 1B,3B,SS | PIT",0,.000,0,0,0,9999
W ,Kewby Meyer 1B | TB ,0,.000,0,0,0,9999
W ,Bruce Yari 1B | CIN ,0,.000,0,0,0,9999
W ,"Edouard Julien 1B,2B | MIN",0,.000,0,0,0,9999
W ,"Liam Hicks C,1B | MIA",0,.000,0,0,0,9999
W ,Rixon Taylor-Wingrove 1B | PHI ,0,.000,0,0,0,9999
W ,Sam Kulasingam 1B | KC ,0,.000,0,0,0,9999
W ,Landon Stephens 1B | ATL ,0,.000,0,0,0,9999
W ,Ibandel Isabel 1B | CIN ,0,.000,0,0,0,9999
W ,K.C. Hobson 1B | SF ,0,.000,0,0,0,9999
W ,Matt Rose 1B | CHW ,0,.000,0,0,0,9999
W ,Jacson McGowan 1B | TB ,0,.000,0,0,0,9999
W ,Jacob Rogers 1B | CHC ,0,.000,0,0,0,9999
W ,Xavier Isaac 1B | TB ,0,.000,0,0,0,9999
W ,Arturo Disla 1B | TEX ,0,.000,0,0,0,9999
W ,Grant Lavigne 1B | COL ,0,.000,0,0,0,9999
W ,Derlin Figueroa 1B | KC ,0,.000,0,0,0,9999
W ,Ryan Holgate 1B | STL ,0,.000,0,0,0,9999
W ,Griffin Benson 1B | ATL ,0,.000,0,0,0,9999
W ,Dennis Raben 1B | SEA ,0,.000,0,0,0,9999
W ,Reynaldo Rivera 1B | DET ,0,.000,0,0,0,9999
W ,Andrew Daschbach 1B | BAL ,0,.000,0,0,0,9999
W ,Ryan Ripken 1B | BAL ,0,.000,0,0,0,9999
W ,Branden Boissiere 1B | WAS ,0,.000,0,0,0,9999
W ,Carter Graham 1B | CIN ,0,.000,0,0,0,9999
W ,TT Bowens 1B | BAL ,0,.000,0,0,0,9999
W ,Dillon Paulson 1B | LAD ,0,.000,0,0,0,9999
W ,Mike Boeve 1B | MIL ,0,.000,0,0,0,9999
W ,Wladimir Galindo 1B | CHC ,0,.000,0,0,0,9999
W ,Brett Squires 1B | KC ,0,.000,0,0,0,9999
W ,Callan Moss 1B | PIT ,0,.000,0,0,0,9999
W ,Edwin Espinal 1B | DET ,0,.000,0,0,0,9999
W ,Modeifi Marte 1B | ARI ,0,.000,0,0,0,9999
W ,Steven Sensley 1B | NYY ,0,.000,0,0,0,9999
W ,D.J. Hicks 1B | MIN ,0,.000,0,0,0,9999
W ,Nellie Rodriguez 1B | CLE ,0,.000,0,0,0,9999
W ,Milkar Perez 1B | SEA ,0,.000,0,0,0,9999
W ,Brandon Lewis 1B | LAD ,0,.000,0,0,0,9999
W ,Jesus Valdez 1B | ARI ,0,.000,0,0,0,9999
Runtime Terror,"Ben Rice C,1B | NYY ",0,.000,0,0,0,9999
Dawg,Michael Busch 1B | CHC,0,.000,0,0,0,9999
W ,Chase Strumpf 1B | CHC ,0,.000,0,0,0,9999
W ,Christian Encarnacion-Strand 1B | CIN,0,.000,0,0,0,9999
W ,Ramon Hernandez 1B | ARI ,0,.000,0,0,0,9999
W ,D.J. Stewart 1B | PHI ,0,.000,0,0,0,9999
W ,Erick Meza 1B | LAD ,0,.000,0,0,0,9999
W ,Griffin Lockwood-Powell 1B | LAD ,0,.000,0,0,0,9999
W ,Anthony Miller 1B | ATH ,0,.000,0,0,0,9999
W ,Conrad Gregor 1B | BOS ,0,.000,0,0,0,9999
W ,Yohairo Cuevas 1B | NYM ,0,.000,0,0,0,9999
W ,Tyler Durna 1B | CHC ,0,.000,0,0,0,9999
W ,Nick Cimillo 1B | PIT ,0,.000,0,0,0,9999
W ,Cole Zabowski 1B | COL ,0,.000,0,0,0,9999
W ,Preston Beck 1B | TEX ,0,.000,0,0,0,9999
W ,Cristian Santana 1B | DET ,0,.000,0,0,0,9999
W ,Torin Montgomery 1B | MIA ,0,.000,0,0,0,9999
W ,Keaton Anthony 1B | PHI ,0,.000,0,0,0,9999
W ,Evan Edwards 1B | TB ,0,.000,0,0,0,9999
W ,Trey Vavra 1B | MIN ,0,.000,0,0,0,9999
Trex,Nolan Schanuel 1B | LAA,0,.000,0,0,0,9999
W ,Kyle Roller 1B | TB ,0,.000,0,0,0,9999
