All Shortstops 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Yanki Baptiste SS | CLE ,0,.000,0,0,0,9999
W ,Felnin Celesten SS | SEA ,0,.000,0,0,0,9999
W ,Sharlon Schoop SS | BAL ,0,.000,0,0,0,9999
W ,Junior Sanquintin SS | CLE ,0,.000,0,0,0,9999
W ,Angel Rosa SS | LAA,0,.000,0,0,0,9999
W ,Jason Matthews SS | CHW ,0,.000,0,0,0,9999
W ,Emerson Purroy SS | CLE ,0,.000,0,0,0,9999
W ,Jonathan Galvez SS | NYY ,0,.000,0,0,0,9999
W ,Mitchell Daly SS | LAA ,0,.000,0,0,0,9999
W ,Luis Pena SS | MIL ,0,.000,0,0,0,9999
W ,Jiovanni Mier SS | TOR ,0,.000,0,0,0,9999
W ,Roberto Baldoquin SS | LAA ,0,.000,0,0,0,9999
W ,Rafael Morel SS | CHC ,0,.000,0,0,0,9999
W ,Joendry Vargas SS | LAD ,0,.000,0,0,0,9999
W ,George Lombard SS | NYY ,0,.000,0,0,0,9999
W ,Maick Collado SS | CLE ,0,.000,0,0,0,9999
W ,Moises Castillo SS | CHW ,0,.000,0,0,0,9999
W ,Luke Wakamatsu SS | CLE ,0,.000,0,0,0,9999
W ,Jeral Toledo SS | PIT ,0,.000,0,0,0,9999
W ,Grayson Byrd SS | CHC ,0,.000,0,0,0,9999
W ,Luke Dickerson SS | WAS ,0,.000,0,0,0,9999
W ,Dominic Pitelli SS | CIN ,0,.000,0,0,0,9999
W ,Yeison Santana SS | SD ,0,.000,0,0,0,9999
W ,Calvin Conley SS | ATL ,0,.000,0,0,0,9999
W ,Dyan Jorge SS | COL ,0,.000,0,0,0,9999
W ,Ramon Morla SS | SEA ,0,.000,0,0,0,9999
W ,Daniel Pinero SS | DET ,0,.000,0,0,0,9999
W ,Beau Brundage SS | TB ,0,.000,0,0,0,9999
W ,Emil Morales SS | LAD ,0,.000,0,0,0,9999
W ,Andrew Velazquez SS | NYY ,0,.000,0,0,0,9999
W ,Garabez Rosa SS | BAL ,0,.000,0,0,0,9999
W ,Johnny Olmstead SS | MIA ,0,.000,0,0,0,9999
W ,Casey McElroy SS | SD ,0,.000,0,0,0,9999
W ,Narciso Polanco SS | TB ,0,.000,0,0,0,9999
W ,Isrrael De La Cruz SS | DET ,0,.000,0,0,0,9999
W ,Beamer Weems SS | CIN ,0,.000,0,0,0,9999
W ,Jesus Lara SS | CLE ,0,.000,0,0,0,9999
W ,Luis Jean SS | COL ,0,.000,0,0,0,9999
W ,Aramis Ademan SS | CHC ,0,.000,0,0,0,9999
W ,Francisco Acuna SS | SD ,0,.000,0,0,0,9999
W ,Jeremy Rodriguez SS | NYM ,0,.000,0,0,0,9999
W ,Trae Arbet SS | PIT ,0,.000,0,0,0,9999
W ,Jordan Gore SS | MIN ,0,.000,0,0,0,9999
W ,Kelson Brown SS | PIT ,0,.000,0,0,0,9999
W ,Kayson Cunningham SS | ARI ,0,.000,0,0,0,9999
W ,Edwin Figuera SS | CHC ,0,.000,0,0,0,9999
W ,Trevor Schwecke SS | PHI,0,.000,0,0,0,9999
W ,Alfredo Reyes SS | PIT ,0,.000,0,0,0,9999
W ,Brandon Butterworth SS | BAL ,0,.000,0,0,0,9999
W ,Kaylan Nicasia SS | MIL ,0,.000,0,0,0,9999
W ,Wander Franco SS | TB ,0,.000,0,0,0,9999
W ,Glenn Santiago SS | TOR ,0,.000,0,0,0,9999
W ,Michael Turconi SS | TOR ,0,.000,0,0,0,9999
W ,Karson Simas SS | BOS ,0,.000,0,0,0,9999
W ,Andrew Sohn SS | STL ,0,.000,0,0,0,9999
W ,Victor Ngoepe SS | PIT ,0,.000,0,0,0,9999
W ,Albert Suarez SS | NYM ,0,.000,0,0,0,9999
W ,Isan Castillo SS | WAS ,0,.000,0,0,0,9999
W ,Gunner Gouldsmith SS | ATH ,0,.000,0,0,0,9999
W ,Brandon Van Horn SS | SF ,0,.000,0,0,0,9999
W ,Jeffrey Palumbo SS | SF ,0,.000,0,0,0,9999
W ,Peter Van Gansen SS | SD ,0,.000,0,0,0,9999
W ,Bryce Rainer SS | DET ,0,.000,0,0,0,9999
W ,Griff O'Ferrall SS | BAL ,0,.000,0,0,0,9999
W ,Osvaldo Duarte SS | HOU ,0,.000,0,0,0,9999
W ,Andy Perez SS | COL ,0,.000,0,0,0,9999
W ,Justin Guerrera SS | NYM ,0,.000,0,0,0,9999
W ,Maikol Hernandez SS | BAL ,0,.000,0,0,0,9999
W ,Laz Rivera SS | CHW ,0,.000,0,0,0,9999
W ,Adriam Santana SS | TB ,0,.000,0,0,0,9999
W ,Curt Powell SS | DET ,0,.000,0,0,0,9999
W ,Theo Hardy SS | TEX ,0,.000,0,0,0,9999
W ,Simon Whiteman SS | SF ,0,.000,0,0,0,9999
W ,Yordys Valdes SS | CLE,0,.000,0,0,0,9999
W ,Ilvin Fernandez SS | CIN ,0,.000,0,0,0,9999
W ,Robert Puason SS | ATH ,0,.000,0,0,0,9999
W ,Andrew Navigato SS | DET ,0,.000,0,0,0,9999
W ,Daniel Ozoria SS | MIN ,0,.000,0,0,0,9999
W ,Jose Bonilla SS | LAA ,0,.000,0,0,0,9999
W ,Gus Steiger SS | CIN ,0,.000,0,0,0,9999
W ,William Lugo SS | NYM ,0,.000,0,0,0,9999
W ,Dauri Fernandez SS | CLE ,0,.000,0,0,0,9999
W ,Yolfran Castillo SS | TEX ,0,.000,0,0,0,9999
W ,Alex Mooney SS | CLE ,0,.000,0,0,0,9999
W ,Josuar De Jesus Gonzalez SS | SF ,0,.000,0,0,0,9999
W ,Ernie Yake SS | MIN ,0,.000,0,0,0,9999
W ,Jordan Brown SS | CLE ,0,.000,0,0,0,9999
W ,Ethan Murray SS | MIL,0,.000,0,0,0,9999
W ,Matt McLaughlin SS | COL ,0,.000,0,0,0,9999
W ,Ray-Patrick Didder SS | SD ,0,.000,0,0,0,9999
W ,Joey Wong SS | SEA ,0,.000,0,0,0,9999
W ,Daniel Pierce SS | TB ,0,.000,0,0,0,9999
W ,Ryan McCarty SS | TOR ,0,.000,0,0,0,9999
W ,Freddy Zamora SS | MIL ,0,.000,0,0,0,9999
W ,Will Holland SS | MIN ,0,.000,0,0,0,9999
W ,Edwin Garcia SS | TEX ,0,.000,0,0,0,9999
W ,Dillon Moyer SS | LAD ,0,.000,0,0,0,9999
W ,Brainer Bonaci SS | BOS ,0,.000,0,0,0,9999
W ,Juan Matheus SS | NYY ,0,.000,0,0,0,9999
W ,Jose Alexander Martinez SS | STL ,0,.000,0,0,0,9999
W ,Braylen Wimmer SS | COL ,0,.000,0,0,0,9999
W ,Emmanuel Marrero SS | PHI ,0,.000,0,0,0,9999
W ,Anthony Phillips SS | COL ,0,.000,0,0,0,9999
W ,Jose Devers SS | CLE ,0,.000,0,0,0,9999
W ,Glenallen Hill Jr. SS | COL ,0,.000,0,0,0,9999
W ,Mikey Duarte SS | CHW ,0,.000,0,0,0,9999
W ,Luis Lopez SS | CIN ,0,.000,0,0,0,9999
W ,"Franyerber Montilla SS | DET ",0,.000,0,0,0,9999
W ,Juan Corniel SS | ARI ,0,.000,0,0,0,9999
W ,Robbie Glendinning SS | KC ,0,.000,0,0,0,9999
W ,Montrell Marshall SS | CIN ,0,.000,0,0,0,9999
W ,Ashly Andujar SS | COL ,0,.000,0,0,0,9999
W ,Dereck Salom SS | ATH ,0,.000,0,0,0,9999
W ,Arol Vera SS | LAA ,0,.000,0,0,0,9999
W ,Luis Verdugo SS | PHI ,0,.000,0,0,0,9999
W ,Tyler Filliben SS | PIT ,0,.000,0,0,0,9999
W ,Riley Delgado SS | ATL ,0,.000,0,0,0,9999
W ,Dustin Dickerson SS | KC ,0,.000,0,0,0,9999
W ,Jared Reaves SS | DET ,0,.000,0,0,0,9999
W ,Shervyen Newton SS | KC ,0,.000,0,0,0,9999
W ,Jose Perdomo SS | ATL ,0,.000,0,0,0,9999
W ,Wilkerman Garcia SS | NYY ,0,.000,0,0,0,9999
W ,Cadyn Grenier SS | BAL ,0,.000,0,0,0,9999
W ,Jake Boone SS | WAS ,0,.000,0,0,0,9999
W ,Jose Torres SS | COL ,0,.000,0,0,0,9999
W ,Channy Ortiz SS | ARI ,0,.000,0,0,0,9999
W ,Trace Loehr SS | ATH ,0,.000,0,0,0,9999
W ,Milan Tolentino SS | CLE ,0,.000,0,0,0,9999
W ,Alfredo Lopez SS | MIA ,0,.000,0,0,0,9999
W ,Abiezel Ramirez SS | TB ,0,.000,0,0,0,9999
W ,Tyresse Turner SS | CLE ,0,.000,0,0,0,9999
W ,Jose King SS | DET ,0,.000,0,0,0,9999
W ,Johnny Adams SS | SEA ,0,.000,0,0,0,9999
W ,Roberto Chirinos SS | NYY ,0,.000,0,0,0,9999
W ,Kellon Lindsey SS | LAD ,0,.000,0,0,0,9999
W ,Manny Rodriguez SS | NYM ,0,.000,0,0,0,9999
W ,Josh Hood SS | SEA ,0,.000,0,0,0,9999
W ,Jordan Serena SS | LAA ,0,.000,0,0,0,9999
W ,Colt Emerson SS | SEA ,0,.000,0,0,0,9999
W ,Jose Escorche SS | ATH ,0,.000,0,0,0,9999
W ,Robi Estrada SS | TB ,0,.000,0,0,0,9999
W ,Griffin Cheney SS | TEX ,0,.000,0,0,0,9999
W ,Emilio Sanchez SS | BAL ,0,.000,0,0,0,9999
W ,Wyatt Sanford SS | PIT ,0,.000,0,0,0,9999
W ,Chris Seise SS | TEX ,0,.000,0,0,0,9999
W ,Jose Pastrano SS | CLE ,0,.000,0,0,0,9999
W ,Justin Twine SS | MIA ,0,.000,0,0,0,9999
W ,Zach Rutherford SS | TB ,0,.000,0,0,0,9999
W ,Tucker Neuhaus SS | MIL ,0,.000,0,0,0,9999
W ,Brady McConnell SS | KC ,0,.000,0,0,0,9999
W ,Shotaro Morii SS | ATH ,0,.000,0,0,0,9999
W ,Gioskar Amaya SS | CHC ,0,.000,0,0,0,9999
W ,Jesus Baez SS | STL ,0,.000,0,0,0,9999
W ,Tyler Frank SS | TB ,0,.000,0,0,0,9999
W ,Yahil Melendez SS | CHC ,0,.000,0,0,0,9999
W ,Cooper Pratt SS | MIL ,0,.000,0,0,0,9999
W ,Antonio Lamas SS | ATH ,0,.000,0,0,0,9999
W ,Wyatt Young SS | NYM ,0,.000,0,0,0,9999
W ,Zach Evans SS | SD ,0,.000,0,0,0,9999
W ,Oswaldo Osorio SS | LAD ,0,.000,0,0,0,9999
W ,Bryan Rincon SS | PHI ,0,.000,0,0,0,9999
W ,Trever Morrison SS | MIL ,0,.000,0,0,0,9999
W ,German Ramirez SS | HOU ,0,.000,0,0,0,9999
W ,Edryn Rodriguez SS | SEA ,0,.000,0,0,0,9999
W ,Glynn Davis SS | BAL ,0,.000,0,0,0,9999
W ,Wilber Sanchez SS | CHW ,0,.000,0,0,0,9999
W ,Javier Rivas SS | PIT ,0,.000,0,0,0,9999
W ,Jhonny Level SS | SF ,0,.000,0,0,0,9999
W ,Johan Lopez SS | TB ,0,.000,0,0,0,9999
W ,Sean Jamieson SS | ARI ,0,.000,0,0,0,9999
W ,Alexis Garcia SS | DET ,0,.000,0,0,0,9999
W ,Mitch Jebb SS | PIT ,0,.000,0,0,0,9999
W ,Ayden Johnson SS | ATH ,0,.000,0,0,0,9999
W ,Jack Brannigan SS | PIT ,0,.000,0,0,0,9999
W ,Mikey Perez SS | MIN ,0,.000,0,0,0,9999
W ,Olivier Basabe SS | SD ,0,.000,0,0,0,9999
W ,Cristofer Torin SS | ARI ,0,.000,0,0,0,9999
W ,Austin Fisher SS | CLE ,0,.000,0,0,0,9999
W ,Ghordy Santos SS | SF ,0,.000,0,0,0,9999
W ,Ronny Rojas SS | NYY ,0,.000,0,0,0,9999
W ,Brett Pope SS | PIT ,0,.000,0,0,0,9999
W ,Ben Ross SS | MIN ,0,.000,0,0,0,9999
W ,Tyler Webb SS | MIN ,0,.000,0,0,0,9999
W ,Rando Moreno SS | SF ,0,.000,0,0,0,9999
W ,Alexis Pantoja SS | CLE ,0,.000,0,0,0,9999
W ,Ed Howard SS | CHC ,0,.000,0,0,0,9999
W ,Uziel Viloria SS | PHI ,0,.000,0,0,0,9999
W ,Sean McLain SS | LAD ,0,.000,0,0,0,9999
W ,Aiva Arquette SS | MIA ,0,.000,0,0,0,9999
W ,Jace Peterson SS | ARI,0,.000,0,0,0,9999
W ,Jeremy Rivas SS | STL ,0,.000,0,0,0,9999
W ,Pedro Hernandez SS | CLE ,0,.000,0,0,0,9999
W ,Henyer Gomez SS | CLE ,0,.000,0,0,0,9999
W ,Carson Matthews SS | LAA ,0,.000,0,0,0,9999
W ,Mike Jarvis SS | PIT ,0,.000,0,0,0,9999
W ,Joe Cronin SS | MIN ,0,.000,0,0,0,9999
W ,Jonah McReynolds SS | TEX ,0,.000,0,0,0,9999
W ,James Parker SS | SEA ,0,.000,0,0,0,9999
W ,JoJo Parker SS | TOR ,0,.000,0,0,0,9999
W ,Scott McKeon SS | CHC ,0,.000,0,0,0,9999
W ,Leonel Valera SS | KC ,0,.000,0,0,0,9999
W ,Eduardo Garcia SS | MIL ,0,.000,0,0,0,9999
W ,Eugene Helder SS | SEA ,0,.000,0,0,0,9999
W ,Luis Valenzuela SS | ATL ,0,.000,0,0,0,9999
W ,Malquin Canelo SS | BAL ,0,.000,0,0,0,9999
W ,Timothy Borden SS | HOU ,0,.000,0,0,0,9999
W ,Tanner Rahier SS | CIN,0,.000,0,0,0,9999
W ,Leandro Arias SS | BAL ,0,.000,0,0,0,9999
W ,Cory Thompson SS | STL ,0,.000,0,0,0,9999
W ,Shawn Ross SS | PIT ,0,.000,0,0,0,9999
W ,Daniel Vazquez SS | KC ,0,.000,0,0,0,9999
W ,Paul Hendrix SS | CLE ,0,.000,0,0,0,9999
W ,Clay Dungan SS | SD ,0,.000,0,0,0,9999
W ,Jason Martinson SS | TEX ,0,.000,0,0,0,9999
W ,Cobb Hightower SS | BAL ,0,.000,0,0,0,9999
W ,Carlos Herrera SS | COL ,0,.000,0,0,0,9999
W ,Konnor Griffin SS | PIT ,0,.000,0,0,0,9999
W ,Adalberto Mondesi SS | BOS,0,.000,0,0,0,9999
W ,Kevin McGonigle SS | DET ,0,.000,0,0,0,9999
W ,Chris Baker SS | SD ,0,.000,0,0,0,9999
W ,Bobby Honeyman SS | SEA ,0,.000,0,0,0,9999
W ,Elian Pena SS | NYM ,0,.000,0,0,0,9999
W ,Jordan Thompson SS | LAD ,0,.000,0,0,0,9999
W ,Sammy Stafura SS | CIN ,0,.000,0,0,0,9999
W ,Keyber Rodriguez SS | TEX ,0,.000,0,0,0,9999
W ,Stephen Bruno SS | CHC ,0,.000,0,0,0,9999
W ,Matt Williams SS | LAA ,0,.000,0,0,0,9999
W ,Ethan Holliday SS | COL ,0,.000,0,0,0,9999
W ,Kevin Kendall SS | NYM ,0,.000,0,0,0,9999
W ,Cody Ramer SS | LAA ,0,.000,0,0,0,9999
W ,Noah Miller SS | LAD ,0,.000,0,0,0,9999
W ,Angel Miguel SS | CLE ,0,.000,0,0,0,9999
W ,Capri Ortiz SS | LAA ,0,.000,0,0,0,9999
W ,Ethan Skender SS | SD ,0,.000,0,0,0,9999
W ,Chad Sedio SS | DET ,0,.000,0,0,0,9999
W ,Mott Hyde SS | HOU ,0,.000,0,0,0,9999
W ,Erick Salcedo SS | LAA ,0,.000,0,0,0,9999
W ,Brandon Grudzielanek SS | TOR ,0,.000,0,0,0,9999
W ,Wyatt Hoffman SS | SD ,0,.000,0,0,0,9999
W ,Chris Schrock SS | CIN,0,.000,0,0,0,9999
W ,Sebastian Espino SS | TOR ,0,.000,0,0,0,9999
W ,Calten Daal SS | MIN ,0,.000,0,0,0,9999
W ,Christopher Torres SS | SEA,0,.000,0,0,0,9999
W ,Kodie Tidwell SS | SD ,0,.000,0,0,0,9999
W ,Dillon Dobson SS | SF ,0,.000,0,0,0,9999
W ,Austin Bailey SS | KC ,0,.000,0,0,0,9999
W ,Franklin Arias SS | BOS ,0,.000,0,0,0,9999
W ,Marcus Mooney SS | ATL ,0,.000,0,0,0,9999
W ,Kleimir Lemos SS | TEX ,0,.000,0,0,0,9999
W ,Tyson Lewis SS | CIN ,0,.000,0,0,0,9999
W ,Bengie Gonzalez SS | WAS ,0,.000,0,0,0,9999
W ,Nik McClaughry SS | SD ,0,.000,0,0,0,9999
W ,Dalton Shuffield SS | MIN ,0,.000,0,0,0,9999
W ,Trei Cruz SS | DET ,0,.000,0,0,0,9999
W ,Brallan Perez SS | ATH ,0,.000,0,0,0,9999
W ,Corey Joyce SS | DET ,0,.000,0,0,0,9999
W ,Joab Gonzalez SS | CLE ,0,.000,0,0,0,9999
W ,Scott Burcham SS | COL ,0,.000,0,0,0,9999
W ,Arjun Nimmala SS | TOR ,0,.000,0,0,0,9999
W ,Braden Shewmake SS | NYY,0,.000,0,0,0,9999
W ,Grenny Cumana SS | PHI ,0,.000,0,0,0,9999
W ,Demetrius Sims SS | MIA ,0,.000,0,0,0,9999
W ,J.J. Gould SS | MIA ,0,.000,0,0,0,9999
W ,Deacon Liput SS | LAD ,0,.000,0,0,0,9999
W ,Elvis Peralta SS | ATH ,0,.000,0,0,0,9999
W ,Logan Ratledge SS | PIT ,0,.000,0,0,0,9999
W ,KC Serna SS | MIA ,0,.000,0,0,0,9999
W ,Angel Feliz SS | WAS ,0,.000,0,0,0,9999
W ,Arquimedes Gamboa SS | STL ,0,.000,0,0,0,9999
W ,Melvin Mercedes SS | ATH ,0,.000,0,0,0,9999
W ,Jose Baez SS | CLE ,0,.000,0,0,0,9999
W ,Leo De Vries SS | ATH ,0,.000,0,0,0,9999
W ,Payton Eeles SS | MIN ,0,.000,0,0,0,9999
W ,Gionti Turner SS | TB ,0,.000,0,0,0,9999
W ,Anthony Pereira SS | DET ,0,.000,0,0,0,9999
W ,Carter Young SS | BAL ,0,.000,0,0,0,9999
W ,Johnny Ascanio SS | CIN ,0,.000,0,0,0,9999
W ,Yohander Martinez SS | MIN ,0,.000,0,0,0,9999
W ,Carlos Santiago SS | MIA ,0,.000,0,0,0,9999
W ,Jose Escobar SS | CHC ,0,.000,0,0,0,9999
W ,Logan Simmons SS | PHI ,0,.000,0,0,0,9999
W ,Colton Becker SS | KC ,0,.000,0,0,0,9999
W ,JJ Wetherholt SS | STL ,0,.000,0,0,0,9999
W ,Brenden Dixon SS | PIT ,0,.000,0,0,0,9999
W ,Alfredo Alcantara SS | CIN ,0,.000,0,0,0,9999
W ,Fran Alduey SS | CLE ,0,.000,0,0,0,9999
W ,Jim Jarvis SS | ATL ,0,.000,0,0,0,9999
W ,Nonie Williams SS | LAA ,0,.000,0,0,0,9999
W ,Jack Dunn SS | DET ,0,.000,0,0,0,9999
W ,Colby Woodmansee SS | NYM ,0,.000,0,0,0,9999
W ,Antonio Nunez SS | HOU ,0,.000,0,0,0,9999
