All Third Basemen 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Brian Hernandez 3B | LAA ,0,.000,0,0,0,9999
W ,Izaac Pacheco 3B | DET ,0,.000,0,0,0,9999
W ,Alberti Chavez 3B | CIN ,0,.000,0,0,0,9999
W ,Alex Freeland 3B | LAD,0,.000,0,0,0,9999
W ,Martin Gonzalez 3B | SEA ,0,.000,0,0,0,9999
W ,Paul Hoenecke 3B | LAD ,0,.000,0,0,0,9999
W ,Nestor Miranda 3B | DET ,0,.000,0,0,0,9999
W ,Nick Tanielu 3B | TEX ,0,.000,0,0,0,9999
W ,Rehiner Cordova 3B | MIA ,0,.000,0,0,0,9999
W ,Tyler Selesky 3B | SD ,0,.000,0,0,0,9999
W ,Andrew Fischer 3B | MIL ,0,.000,0,0,0,9999
W ,Deniel Ortiz 3B | STL ,0,.000,0,0,0,9999
W ,Drew Ward 3B | WAS ,0,.000,0,0,0,9999
W ,Christopher Paciolla 3B | CHC ,0,.000,0,0,0,9999
Guillotine,"Noelvi Marte 3B,OF | CIN",0,.000,0,0,0,9999
W ,Jackson Glenn 3B | PIT ,0,.000,0,0,0,9999
W ,Carlos Franco 3B | ATL ,0,.000,0,0,0,9999
W ,Nick Vilter 3B | SD ,0,.000,0,0,0,9999
W ,John Valente 3B | DET ,0,.000,0,0,0,9999
W ,Yunior Severino 3B | MIN ,0,.000,0,0,0,9999
W ,Ronny Brito 3B | LAD ,0,.000,0,0,0,9999
W ,Toby Welk 3B | BAL ,0,.000,0,0,0,9999
W ,Mikey Romero 3B | BOS ,0,.000,0,0,0,9999
W ,Leandro Santana 3B | CIN ,0,.000,0,0,0,9999
W ,Jeffrey Mercedes 3B | CLE ,0,.000,0,0,0,9999
W ,Danny De Andrade 3B | MIN ,0,.000,0,0,0,9999
Like a Nightmare,Caleb Durbin 3B | MIL ,0,.000,0,0,0,9999
W ,Tommy White 3B | ATH ,0,.000,0,0,0,9999
W ,Willy Yahn 3B | BAL ,0,.000,0,0,0,9999
W ,Carlos Colmenarez 3B | TB ,0,.000,0,0,0,9999
W ,Dan Gamache 3B | ATH ,0,.000,0,0,0,9999
W ,Brett Harris 3B | ATH ,0,.000,0,0,0,9999
W ,Matthew Alifano 3B | PHI ,0,.000,0,0,0,9999
W ,Yonatan Henriquez 3B | NYM ,0,.000,0,0,0,9999
W ,Gabriel Garcia 3B | MIL ,0,.000,0,0,0,9999
W ,Gino Groover 3B | ARI ,0,.000,0,0,0,9999
W ,Eric Marinez 3B | ATH ,0,.000,0,0,0,9999
Like a Nightmare,"Jose Caballero 2B,3B,SS,OF | NYY",0,.000,0,0,0,9999
W ,Carlos Mendoza 3B | DET ,0,.000,0,0,0,9999
W ,Anthony Seigler 3B | MIL,0,.000,0,0,0,9999
W ,Sabin Ceballos 3B | SF ,0,.000,0,0,0,9999
W ,Ricardo Cabrera 3B | CIN ,0,.000,0,0,0,9999
W ,Ben Williamson 3B | SEA,0,.000,0,0,0,9999
W ,Chad Bell 3B | NYY ,0,.000,0,0,0,9999
W ,"Max Schuemann 2B,3B,SS | ATH",0,.000,0,0,0,9999
W ,Marcos Cabrera 3B | NYY ,0,.000,0,0,0,9999
W ,Daniel Arribas 3B | PIT ,0,.000,0,0,0,9999
W ,Cam Devanney 3B | PIT ,0,.000,0,0,0,9999
