All Catchers 2024  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Gashouse Gang,William Contreras C | MIL ,23,.365,99,92,9,27
W ,Joe DeCarlo C | SEA ,0,.000,0,0,0,9999
W ,Dalton Rushing C | LAD ,0,.000,0,0,0,9999
W ,Jose Mena C | NYM ,0,.000,0,0,0,9999
W ,James Free C | CIN ,0,.000,0,0,0,9999
W ,Charlie Madden C | BOS ,0,.000,0,0,0,9999
Simba's Dublin Green Sox,Drake Baldwin C | ATL ,0,.000,0,0,0,9999
W ,Juan Santander C | HOU ,0,.000,0,0,0,9999
W ,Ernesto Liberatore C | CIN ,0,.000,0,0,0,9999
W ,Maxwell Romero C | WAS ,0,.000,0,0,0,9999
W ,Ronaiker Palma C | COL ,0,.000,0,0,0,9999
W ,Ruben Castro C | HOU ,0,.000,0,0,0,9999
W ,Christopher Bec C | TOR ,0,.000,0,0,0,9999
W ,Alex Burg C | TEX ,0,.000,0,0,0,9999
W ,Blake Mitchell C | KC ,0,.000,0,0,0,9999
W ,Jamie Ritchie C | TOR ,0,.000,0,0,0,9999
W ,Martin Cervenka C | BAL ,0,.000,0,0,0,9999
W ,Straton Podaras C | LAA ,0,.000,0,0,0,9999
W ,Eduardo Tait C | MIN ,0,.000,0,0,0,9999
W ,Arden Pabst C | ATL ,0,.000,0,0,0,9999
W ,Chris Okey C | LAD ,0,.000,0,0,0,9999
W ,Juan Gomes C | CLE ,0,.000,0,0,0,9999
W ,Max George C | COL ,0,.000,0,0,0,9999
W ,Connor Burns C | CIN ,0,.000,0,0,0,9999
W ,Rob Emery C | SF ,0,.000,0,0,0,9999
W ,Wade Wass C | LAA ,0,.000,0,0,0,9999
W ,Collin Theroux C | ATH ,0,.000,0,0,0,9999
W ,Steve Rodriguez C | ATL ,0,.000,0,0,0,9999
W ,Cameron Barstad C | MIA,0,.000,0,0,0,9999
W ,Daniel Vellojin C | CIN ,0,.000,0,0,0,9999
W ,B.J. Lopez C | MIA ,0,.000,0,0,0,9999
W ,Onix Vega C | NYM ,0,.000,0,0,0,9999
W ,Jan Mercado C | MIA ,0,.000,0,0,0,9999
W ,Sal Giardina C | ATL ,0,.000,0,0,0,9999
W ,Mitchell Kranson C | CIN ,0,.000,0,0,0,9999
W ,Yohendry Sanchez C | SF ,0,.000,0,0,0,9999
W ,Ricardo Olivar C | MIN ,0,.000,0,0,0,9999
W ,Juan Kelly C | TOR ,0,.000,0,0,0,9999
W ,Oscar Rangel C | BOS ,0,.000,0,0,0,9999
W ,Renae Martinez C | ARI ,0,.000,0,0,0,9999
W ,Ryan Gold C | TOR ,0,.000,0,0,0,9999
W ,Austin Green C | DET ,0,.000,0,0,0,9999
W ,Jesus Galiz C | LAD ,0,.000,0,0,0,9999
W ,Rainiel Rodriguez C | STL ,0,.000,0,0,0,9999
W ,Sam McMillan C | DET ,0,.000,0,0,0,9999
W ,Sharif Othman C | MIA ,0,.000,0,0,0,9999
W ,Hamlet Marte C | LAD ,0,.000,0,0,0,9999
W ,Ramon Ramirez C | KC ,0,.000,0,0,0,9999
W ,Michael Cantu C | SD ,0,.000,0,0,0,9999
W ,Enrique Jimenez C | MIN ,0,.000,0,0,0,9999
W ,Anthony Bemboom C | DET ,0,.000,0,0,0,9999
W ,Ben Hartl C | TEX ,0,.000,0,0,0,9999
W ,Jesus Ordonez C | COL ,0,.000,0,0,0,9999
W ,Carter Trice C | CHC ,0,.000,0,0,0,9999
W ,Carter Bins C | PIT ,0,.000,0,0,0,9999
W ,Sam Praytor C | MIA ,0,.000,0,0,0,9999
W ,David Martin C | ARI ,0,.000,0,0,0,9999
W ,Myles Emmerson C | LAA ,0,.000,0,0,0,9999
W ,Konner Piotto C | TEX ,0,.000,0,0,0,9999
W ,Austin Bernard C | COL ,0,.000,0,0,0,9999
W ,Adrian Sugastey C | SF ,0,.000,0,0,0,9999
W ,Michael Barash C | LAA ,0,.000,0,0,0,9999
W ,Yovanny Rodriguez C | NYM ,0,.000,0,0,0,9999
W ,Christopher Suero C | NYM ,0,.000,0,0,0,9999
W ,Max McDowell C | TOR ,0,.000,0,0,0,9999
W ,Alex Holderbach C | HOU ,0,.000,0,0,0,9999
W ,Jeremy Martinez C | STL ,0,.000,0,0,0,9999
W ,Willie MacIver C | TEX ,0,.000,0,0,0,9999
W ,Dustin Houle C | NYM ,0,.000,0,0,0,9999
W ,Jason Hagerty C | SD ,0,.000,0,0,0,9999
W ,Chance Sisco C | STL ,0,.000,0,0,0,9999
W ,Luis Cruz C | STL ,0,.000,0,0,0,9999
W ,Tomas Morales C | PIT ,0,.000,0,0,0,9999
W ,Xorge Carrillo C | TB ,0,.000,0,0,0,9999
W ,Vincent Perozo C | NYM ,0,.000,0,0,0,9999
W ,Jake Henson C | LAD ,0,.000,0,0,0,9999
W ,Ryan Wrobleski C | HOU ,0,.000,0,0,0,9999
W ,Eliezer Alfonzo C | DET ,0,.000,0,0,0,9999
W ,Brian O'Keefe C | KC ,0,.000,0,0,0,9999
W ,Wilmer Dominguez C | TB ,0,.000,0,0,0,9999
W ,Ethan Hearn C | CHC ,0,.000,0,0,0,9999
W ,Vito Friscia C | PHI ,0,.000,0,0,0,9999
W ,Ryan Scott C | SEA ,0,.000,0,0,0,9999
W ,Ryan January C | ARI ,0,.000,0,0,0,9999
W ,Matt O'Neill C | NYM ,0,.000,0,0,0,9999
W ,Dennis Ortega C | MIN ,0,.000,0,0,0,9999
W ,Victor Planchart C | CLE ,0,.000,0,0,0,9999
W ,Tyler Tolve C | ATL ,0,.000,0,0,0,9999
W ,Daniel Cope C | COL ,0,.000,0,0,0,9999
W ,Josh Breaux C | PHI ,0,.000,0,0,0,9999
W ,Tatem Levins C | TB ,0,.000,0,0,0,9999
W ,Robert Brooks C | TOR ,0,.000,0,0,0,9999
W ,Omar Alfonzo C | PIT ,0,.000,0,0,0,9999
W ,Joe Mack C | MIA ,0,.000,0,0,0,9999
W ,Jeremy Lucas C | CLE ,0,.000,0,0,0,9999
W ,Nathan Rodriguez C | MIL ,0,.000,0,0,0,9999
Young Guns,Agustin Ramirez C | MIA,0,.000,0,0,0,9999
W ,Ronaldo Hernandez C | NYY ,0,.000,0,0,0,9999
W ,Joe Jackson C | TEX ,0,.000,0,0,0,9999
W ,Matheu Nelson C | CIN ,0,.000,0,0,0,9999
W ,Jhon Nunez C | DET ,0,.000,0,0,0,9999
W ,Alex Swim C | MIN ,0,.000,0,0,0,9999
W ,Michael Hernandez C | MIA ,0,.000,0,0,0,9999
W ,Peter Burns C | LAA ,0,.000,0,0,0,9999
W ,Harry Ford C | WAS ,0,.000,0,0,0,9999
