All Utility Players 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Keibert Ruiz C | WAS ,18,.308,55,67,1,201
W ,Jordan Walker OF | STL ,16,.342,51,51,7,202
W ,Mark Canha OF | KC,11,.355,51,62,11,203
W ,Jorge Mateo OF | BAL ,7,.267,58,34,32,204
W ,"Adam Frazier 2B,OF | KC",13,.300,59,60,11,207
W ,Eloy Jimenez DH | TB ,18,.317,50,64,0,208
W ,"Ezequiel Duran 1B,SS | TEX",14,.324,55,46,8,211
W ,Michael Taylor OF | CHW,21,.278,48,51,13,212
W ,"Luis Rengifo 2B,3B | LAA",16,.339,55,51,6,213
MAGA DOGE ,Geraldo Perdomo SS | ARI,6,.353,71,47,16,214
W ,Will Benson OF | CIN,11,.365,51,31,19,215
W ,Ty France 1B | TOR,12,.337,79,58,1,216
W ,Elias Diaz C | SD ,14,.316,48,72,1,217
W ,Adam Duvall OF | ATL,21,.303,45,58,4,218
W ,Andrew Benintendi OF | CHW ,5,.326,72,45,13,220
W ,Jon Berti 3B | CHC,7,.344,53,33,16,221
W ,Randal Grichuk OF | KC ,16,.321,65,44,2,222
W ,Luis Garcia 2B | WAS,9,.303,61,50,9,225
MAGA DOGE ,Matt Chapman 3B | SF,17,.331,66,54,4,226
Long Balls,Royce Lewis 3B | MIN,15,.372,36,52,6,228
W ,MJ Melendez OF | KC ,16,.316,65,56,6,229
W ,Francisco Alvarez C | NYM ,25,.284,51,63,2,232
W ,"LaMonte Wade 1B,OF | LAA",17,.373,64,45,2,233
W ,Andrew McCutchen DH | PIT,12,.378,55,43,11,234
W ,Hunter Renfroe OF | KC,20,.297,60,60,0,235
W ,Michael Conforto OF | LAD,15,.334,58,58,4,236
Runtime Terror,Mike Trout OF | LAA ,18,.367,54,44,2,238
W ,Kevin Kiermaier OF | LAD,8,.322,58,36,14,242
Runtime Terror,Taylor Ward OF | BAL ,14,.335,60,47,4,243
W ,Mitch Garver C | SEA ,19,.370,45,50,0,245
Gashouse Gang,"Carlos Correa 3B,SS | HOU",18,.312,60,65,0,248
W ,"Edouard Julien 1B,2B | MIN",16,.381,60,37,3,249
W ,Ryan Noda 1B | BAL ,16,.364,63,54,3,250
Dawg,Riley Greene OF | DET,11,.349,51,37,7,251
W ,Jarred Kelenic OF | ATL,11,.327,44,49,13,252
W ,Matt Vierling OF | DET ,10,.329,63,44,6,255
W ,Mike Tauchman OF | CHW ,8,.362,64,48,7,256
Simba's Dublin Green Sox,Trent Grisham OF | NYY ,13,.315,67,50,15,260
W ,Jason Heyward OF | SD ,15,.340,56,40,2,261
W ,Zack Gelof 2B | ATH ,14,.337,40,32,14,262
Rieken Havoc,Shea Langeliers C | ATH,22,.268,52,63,3,263
W ,Brandon Belt DH | TOR,19,.369,53,43,0,267
W ,Edward Olivares OF | PIT ,12,.317,47,36,11,268
Like a Nightmare,Brenton Doyle OF | COL,10,.250,48,48,22,269
W ,Garrett Cooper 1B | ATL ,17,.304,42,61,0,270
W ,"Javier Baez 3B,SS,OF | DET",9,.267,58,59,12,271
W ,Ryan Jeffers C | MIN,14,.369,46,43,3,272
W ,"Enrique Hernandez 1B,3B,OF | LAD ",11,.289,57,61,4,273
Big Sticks,Mickey Moniak OF | COL,14,.306,35,45,6,275
W ,Patrick Wisdom 1B | CHC,23,.289,43,46,4,276
W ,Yan Gomes C | CHC,10,.315,44,63,1,278
W ,Tyler Stephenson C | CIN,13,.317,59,56,0,280
W ,"Zach McKinstry 3B,SS,OF | DET",9,.302,60,35,16,282
W ,Joc Pederson DH | TEX,15,.348,59,51,0,283
Like a Nightmare,Harrison Bader OF | PHI ,7,.274,44,40,20,284
W ,Jake Rogers C | DET ,21,.286,47,49,1,285
Trex,Byron Buxton OF | MIN,17,.294,49,42,9,286
W ,Ji-Hwan Bae OF | NYM ,2,.296,54,32,24,288
W ,Jesus Sanchez OF | HOU,14,.327,43,52,3,289
W ,Taylor Walls SS | TB ,8,.305,50,36,22,290
Magnum GI,Brendan Donovan 2B | STL ,11,.365,48,34,5,291
W ,Connor Joe OF | CIN ,11,.339,63,42,3,293
Simba's Dublin Green Sox,Brice Turang 2B | MIL,6,.285,46,34,26,296
W ,Dominic Smith 1B | SF,12,.326,57,46,1,299
W ,DJ LeMahieu 2B | NYY,15,.327,55,44,2,301
