All Outfielders 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Will Brennan OF | CLE ,5,.299,41,41,13,315
W ,Robbie Grossman OF | KC,10,.341,56,49,1,327
Like a Nightmare,"Jose Caballero 2B,3B,SS,OF | NYY",4,.343,37,26,26,329
W ,Matt Wallner OF | MIN,14,.370,42,41,2,330
W ,Joey Wiemer OF | SF ,13,.283,48,42,11,334
W ,Alek Thomas OF | ARI ,9,.273,51,39,9,341
W ,Drew Waters OF | KC,8,.300,40,32,16,345
W ,Akil Baddoo OF | MIL ,11,.310,40,34,14,346
W ,Myles Straw OF | TOR,1,.301,52,29,20,348
Simba's Dublin Green Sox,Ramon Laureano OF | SD ,9,.304,46,35,12,353
Guillotine,Jurickson Profar OF | ATL,9,.321,55,46,1,356
W ,Jake McCarthy OF | ARI ,2,.318,37,16,26,358
W ,Aaron Hicks OF | LAA,8,.353,44,36,6,360
W ,Travis Jankowski OF | NYM ,1,.357,34,30,19,362
W ,Corey Julks OF | CHW,6,.297,35,33,15,363
W ,Alex Kirilloff OF | MIN,11,.348,35,41,1,369
W ,Tyrone Taylor OF | NYM ,10,.268,36,35,9,371
W ,Manuel Margot OF | DET ,4,.309,39,38,9,373
W ,Seth Brown OF | ATH,14,.286,33,52,3,379
W ,Dairon Blanco OF | KC,3,.324,19,18,24,400
W ,Kyle Isbel OF | KC ,5,.282,45,34,7,407
W ,Jake Meyers OF | HOU ,10,.296,42,33,5,419
W ,Josh Palacios OF | CHW,10,.279,26,40,5,429
W ,Johan Rojas OF | PHI ,2,.342,24,23,14,433
W ,Alex Call OF | LAD,8,.307,43,38,9,448
Young Guns,"Alec Burleson 1B,OF | STL",8,.300,34,36,3,449
W ,Stuart Fairchild OF | TB ,5,.321,34,28,10,455
W ,Brian Anderson OF | ATL ,9,.310,38,40,1,458
W ,Kevin Pillar OF | TEX,9,.248,29,32,4,470
W ,Garrett Hampson OF | STL,3,.349,30,23,5,500
W ,Trevor Larnach OF | MIN,8,.311,26,40,1,502
W ,J.J. Bleday OF | ATH ,10,.310,35,27,5,503
W ,"Jake Bauers 1B,OF | MIL ",12,.279,28,30,3,505
W ,Pablo Reyes OF | NYM ,2,.339,27,20,7,508
W ,DJ Stewart OF | PIT ,11,.333,21,26,1,512
W ,Rob Refsnyder OF | BOS,1,.365,31,28,7,514
Gashouse Gang,Sal Frelick OF | MIL,3,.341,29,24,7,517
Young Guns,Tyler O'Neill OF | BAL ,9,.312,27,21,5,520
W ,"Davis Schneider 2B,OF | TOR",8,.404,23,20,1,538
W ,Gavin Sheets OF | SD,10,.267,24,43,1,547
W ,Raimel Tapia OF | TB,3,.317,28,13,10,548
W ,Austin Slater OF | NYY,5,.348,24,20,2,563
W ,Blake Perkins OF | MIL,4,.325,28,20,5,577
Guillotine,"Noelvi Marte 3B,OF | CIN",3,.366,15,15,6,578
W ,Dylan Carlson OF | BAL ,5,.318,27,27,3,584
W ,"Dylan Moore 2B,OF | TEX",7,.303,18,19,7,585
W ,"Miles Mastrobuoni 3B,OF | SEA",1,.308,24,5,13,598
W ,Oscar Colas OF | CHW,5,.257,32,19,4,602
W ,Ryan McKenna OF | SF ,2,.316,23,18,5,604
W ,Mitch Haniger OF | SEA,6,.266,27,28,1,607
W ,Tyler Freeman OF | COL ,4,.295,20,18,5,613
W ,Parker Meadows OF | DET,3,.338,19,13,8,620
W ,Evan Carter OF | TEX ,5,.413,15,12,3,639
Big Sticks,Dominic Canzone OF | SEA,6,.258,23,21,1,646
W ,Jacob Young OF | WAS,0,.322,9,12,13,653
W ,Victor Robles OF | SEA,0,.385,15,8,8,662
W ,Luis Matos OF | SF,2,.319,24,14,3,672
W ,Jose Azocar OF | ATL,2,.278,16,9,8,676
W ,Jake Cave OF | COL,5,.272,18,21,3,677
W ,Richard Palacios OF | TB,6,.307,9,16,2,679
W ,Billy McKinney OF | TEX ,6,.320,19,14,1,680
W ,Sam Haggerty OF | TEX ,1,.364,13,5,10,692
Big Sticks,Wilyer Abreu OF | BOS ,2,.388,10,14,3,704
W ,"Miguel Andujar 3B,OF | CIN",4,.300,9,18,2,713
W ,Cade Marlowe OF | SEA ,3,.330,14,11,4,729
W ,Jake Alu OF | WAS ,2,.282,14,16,5,736
W ,Jonathan Davis OF | MIA ,2,.307,22,10,1,738
W ,Sam Hilliard OF | COL ,3,.295,15,6,4,754
W ,Jose Barrero OF | STL,2,.295,15,17,3,762
W ,Dominic Fletcher OF | CHW,2,.350,10,14,0,768
