All First Basemen 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Levi Hyams 1B | ATL ,0,.000,0,0,0,9999
W ,Jesus Chirinos 1B | MIL ,0,.000,0,0,0,9999
W ,John Rhodes 1B | BAL ,0,.000,0,0,0,9999
W ,Carlos Munoz 1B | PIT ,0,.000,0,0,0,9999
W ,K.C. Hobson 1B | SF ,0,.000,0,0,0,9999
W ,Dariel Gomez 1B | NYM ,0,.000,0,0,0,9999
W ,Will Simpson 1B | TB ,0,.000,0,0,0,9999
W ,Yoshitomo Tsutsugo 1B | SF ,0,.000,0,0,0,9999
W ,Kyle Nevin 1B | LAD ,0,.000,0,0,0,9999
W ,Nelson Maldonado 1B | CHC ,0,.000,0,0,0,9999
W ,Jacob Teter 1B | BAL ,0,.000,0,0,0,9999
W ,Gabriel Moncada 1B | SEA ,0,.000,0,0,0,9999
W ,Yohandy Morales 1B | WAS ,0,.000,0,0,0,9999
W ,Brady Whalen 1B | SF ,0,.000,0,0,0,9999
W ,Branden Boissiere 1B | WAS ,0,.000,0,0,0,9999
W ,Jake Brodt 1B | TOR ,0,.000,0,0,0,9999
W ,Trey Vavra 1B | MIN ,0,.000,0,0,0,9999
W ,Jacob Rogers 1B | CHC ,0,.000,0,0,0,9999
W ,Jacob Bosiokovic 1B | MIN ,0,.000,0,0,0,9999
W ,Scott Schreiber 1B | HOU ,0,.000,0,0,0,9999
W ,Yohairo Cuevas 1B | NYM ,0,.000,0,0,0,9999
W ,Bryson Horne 1B | ATL ,0,.000,0,0,0,9999
W ,Jacob Schrader 1B | ATL ,0,.000,0,0,0,9999
W ,Edgar Alvarez 1B | CHC ,0,.000,0,0,0,9999
W ,Patrick Leonard 1B | MIL ,0,.000,0,0,0,9999
W ,Steven Sensley 1B | NYY ,0,.000,0,0,0,9999
W ,Dexture McCall 1B | HOU ,0,.000,0,0,0,9999
Like a Nightmare,Nick Kurtz 1B | ATH ,0,.000,0,0,0,9999
W ,Chris Jacobs 1B | STL ,0,.000,0,0,0,9999
W ,Carter Cunningham 1B | TOR ,0,.000,0,0,0,9999
W ,Keaton Anthony 1B | PHI ,0,.000,0,0,0,9999
W ,D.J. Hicks 1B | MIN ,0,.000,0,0,0,9999
W ,Viosergy Rosa 1B | ATH ,0,.000,0,0,0,9999
W ,Rudy Flores 1B | ARI ,0,.000,0,0,0,9999
W ,Marcus Davis 1B | SD ,0,.000,0,0,0,9999
W ,Dylan Burdeaux 1B | DET ,0,.000,0,0,0,9999
W ,Milkar Perez 1B | SEA ,0,.000,0,0,0,9999
W ,Alex Binelas 1B | BOS ,0,.000,0,0,0,9999
W ,Edwin Espinal 1B | DET ,0,.000,0,0,0,9999
