All Utility Players 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Yan Gomes C | CHC,8,.260,23,31,2,512
W ,Pavin Smith 1B | ARI ,9,.300,24,33,1,513
W ,Diego Castillo 3B | MIN,11,.251,28,29,1,516
W ,Kris Bryant DH | COL ,5,.376,28,14,0,519
W ,Cavan Biggio 2B | KC ,6,.318,43,24,2,520
W ,Abraham Toro 1B | BOS ,10,.239,36,35,2,522
Magnum GI,Brandon Lowe 2B | TB ,8,.308,31,25,1,525
W ,"Ezequiel Duran 1B,SS | TEX",5,.277,25,25,4,529
W ,Donovan Solano 1B | TEX,4,.339,22,24,0,532
W ,Jake Burger 1B | TEX ,8,.302,20,26,0,535
Like a Nightmare,Jo Adell OF | LAA,8,.264,22,27,4,536
W ,Alfonso Rivas 1B | STL ,3,.322,27,25,6,537
W ,Garrett Hampson OF | STL,2,.287,29,15,12,540
W ,Brad Miller DH | SD ,7,.270,20,32,4,541
W ,Albert Almora OF | MIA ,5,.282,26,29,3,542
W ,Luis Guillorme 2B | HOU,2,.351,33,17,1,545
W ,David Villar 1B | SF,9,.332,21,24,0,546
W ,"LaMonte Wade 1B,OF | LAA",8,.305,29,26,1,547
W ,Mitch Garver C | SEA ,10,.298,23,24,1,549
W ,Mike Moustakas 3B | CHW ,7,.295,30,25,2,550
W ,Sergio Alcantara 3B | ARI,6,.261,26,29,1,552
W ,Edward Olivares OF | PIT ,4,.333,24,15,2,553
W ,Aristides Aquino OF | CIN,10,.246,24,30,2,554
W ,Oswaldo Cabrera 3B | NYY ,6,.312,21,19,3,557
W ,Ildemaro Vargas 2B | ARI ,4,.299,19,23,3,558
W ,Reese McGuire C | CHC ,3,.307,25,22,1,559
W ,Kyle Garlick OF | ARI ,9,.284,23,18,0,562
W ,P.J. Higgins 1B | CIN ,6,.310,23,30,0,563
W ,Victor Caratini C | HOU,9,.300,26,34,0,568
W ,Nelson Velazquez DH | KC,6,.286,20,26,5,569
W ,"Edmundo Sosa 2B,3B | PHI",2,.275,26,21,6,571
W ,Nathan Eaton OF | BOS,1,.331,16,12,11,572
W ,Gilberto Celestino OF | NYM ,2,.313,30,24,4,574
W ,Tomas Nido C | DET ,3,.276,31,28,0,575
W ,Mike Brosseau 3B | SD ,6,.344,15,23,2,577
W ,Darick Hall 1B | PIT ,9,.282,19,16,0,579
Long Balls,Spencer Torkelson 1B | DET,8,.285,38,28,0,582
W ,"Mauricio Dubon 2B,3B,SS,OF | ATL ",5,.252,31,24,2,583
W ,Mark Mathias 2B | CIN ,6,.319,13,20,3,589
W ,Garrett Stubbs DH | PHI ,5,.350,19,16,2,595
W ,Ryan Jeffers C | MIN,7,.285,25,27,0,599
W ,Jackie Bradley Jr. OF | KC,4,.255,30,38,2,600
W ,Eli White OF | ATL ,3,.274,16,10,12,601
W ,Brandon Belt DH | TOR,8,.326,25,23,1,602
W ,Eddie Rosario DH | MIL ,5,.259,27,24,3,603
Young Guns,Jarren Duran OF | BOS ,3,.282,23,17,7,606
W ,Danny Mendick 3B | CHW ,3,.343,22,15,1,607
W ,Luke Williams SS | ATL,1,.287,21,6,11,610
W ,Seby Zavala C | BOS,2,.346,22,21,0,618
W ,"Zach McKinstry 3B,SS,OF | DET",5,.273,21,14,7,619
W ,Elehuris Montero 1B | COL ,6,.270,21,20,0,621
W ,Charles Leblanc 3B | ATL,4,.320,18,11,4,622
W ,Akil Baddoo OF | MIL ,2,.289,30,9,9,623
W ,Jacob Stallings C | BAL,4,.292,25,34,0,628
W ,Anthony Rendon 3B | LAA ,5,.326,15,24,2,629
W ,Leury Garcia 2B | ATL ,3,.233,38,20,2,630
W ,Alex Call OF | LAD,5,.336,18,13,3,633
W ,Garrett Mitchell OF | MIL ,2,.373,9,9,8,636
W ,Cal Mitchell OF | CHW ,5,.286,21,17,3,638
W ,Alan Trejo SS | COL ,4,.312,15,17,1,642
W ,Trevor Larnach OF | MIN,5,.306,22,18,0,647
