All Catchers 2021  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Trex,"Salvador Perez C,1B | KC ",48,.316,88,121,1,9
W ,Jancel Villarroel C | HOU ,0,.000,0,0,0,9999
W ,Chris Betts C | TB ,0,.000,0,0,0,9999
W ,Hayden Dunhurst C | KC ,0,.000,0,0,0,9999
W ,Austin Rei C | BOS ,0,.000,0,0,0,9999
W ,Kade Scivicque C | DET ,0,.000,0,0,0,9999
W ,Jake Henson C | LAD ,0,.000,0,0,0,9999
W ,Bryan Broecker C | TB ,0,.000,0,0,0,9999
W ,Luke Berryhill C | HOU ,0,.000,0,0,0,9999
W ,Dalton Rushing C | LAD ,0,.000,0,0,0,9999
W ,B.J. Lopez C | MIA ,0,.000,0,0,0,9999
W ,Darrien Miller C | MIL ,0,.000,0,0,0,9999
W ,Hamlet Marte C | LAD ,0,.000,0,0,0,9999
W ,Kevin Rivas C | CLE ,0,.000,0,0,0,9999
W ,Christopher Bec C | TOR ,0,.000,0,0,0,9999
W ,Oscar Rangel C | BOS ,0,.000,0,0,0,9999
W ,Santiago Nessy C | NYY ,0,.000,0,0,0,9999
W ,Tyler Cropley C | KC ,0,.000,0,0,0,9999
W ,Gabriel Lino C | STL ,0,.000,0,0,0,9999
W ,Edgar Quero C | CHW,0,.000,0,0,0,9999
W ,Kenny Piper C | TB ,0,.000,0,0,0,9999
W ,Cooper Uhl C | ATH ,0,.000,0,0,0,9999
W ,Carlos Paulino C | MIA ,0,.000,0,0,0,9999
W ,Wade Stauss C | STL ,0,.000,0,0,0,9999
W ,Dominic Keegan C | TB ,0,.000,0,0,0,9999
W ,Michael Strentz C | LAA ,0,.000,0,0,0,9999
W ,Tatem Levins C | TB ,0,.000,0,0,0,9999
W ,Creed Willems C | BAL ,0,.000,0,0,0,9999
Rieken Havoc,Shea Langeliers C | ATH,0,.000,0,0,0,9999
W ,Adrian Sugastey C | SF ,0,.000,0,0,0,9999
W ,Patrick Bailey C | SF,0,.000,0,0,0,9999
W ,Kevin Torres C | TEX ,0,.000,0,0,0,9999
W ,Alex Murphy C | BAL ,0,.000,0,0,0,9999
W ,Angel Lopez Alvarez C | CLE ,0,.000,0,0,0,9999
W ,Daniel Salters C | CLE,0,.000,0,0,0,9999
W ,C.J. Stubbs C | WAS,0,.000,0,0,0,9999
W ,Cam Maron C | MIA ,0,.000,0,0,0,9999
W ,Luis Flores C | HOU ,0,.000,0,0,0,9999
W ,Myles Schroder C | SF ,0,.000,0,0,0,9999
W ,Garrett Forrester C | MIA ,0,.000,0,0,0,9999
W ,Armando Araiza C | TB ,0,.000,0,0,0,9999
W ,Blake Hunt C | SEA ,0,.000,0,0,0,9999
W ,Alberto Barriga C | ARI ,0,.000,0,0,0,9999
W ,Ivan Murzi C | WAS ,0,.000,0,0,0,9999
W ,Herbert Iser C | PHI ,0,.000,0,0,0,9999
W ,Andres Sosa C | TOR ,0,.000,0,0,0,9999
W ,Korey Lee C | CHW,0,.000,0,0,0,9999
W ,Luke Stevenson C | SEA ,0,.000,0,0,0,9999
W ,Roberto Pena C | LAA ,0,.000,0,0,0,9999
W ,Chandler Seagle C | ATL ,0,.000,0,0,0,9999
W ,Tyler Baker C | ARI ,0,.000,0,0,0,9999
W ,Dan Rizzie C | NYM ,0,.000,0,0,0,9999
W ,Alexander Alvarez C | TB ,0,.000,0,0,0,9999
W ,Lucas Herbert C | ARI ,0,.000,0,0,0,9999
W ,Willie MacIver C | TEX ,0,.000,0,0,0,9999
W ,Blake Anderson C | MIA ,0,.000,0,0,0,9999
W ,Kyle Lovelace C | LAA ,0,.000,0,0,0,9999
W ,Jeremy Martinez C | STL ,0,.000,0,0,0,9999
W ,Parker Morin C | CIN ,0,.000,0,0,0,9999
W ,Ian Rice C | CHC ,0,.000,0,0,0,9999
W ,Danuerys De La Cruz C | DET ,0,.000,0,0,0,9999
W ,Elih Marrero C | BOS ,0,.000,0,0,0,9999
W ,Kyle Petty C | SEA ,0,.000,0,0,0,9999
W ,Ben Carhart C | CHC ,0,.000,0,0,0,9999
W ,Blake Sabol C | BOS ,0,.000,0,0,0,9999
W ,Adony Mejia C | PHI ,0,.000,0,0,0,9999
W ,Brett Cumberland C | SF ,0,.000,0,0,0,9999
W ,Nick Raposo C | SEA ,0,.000,0,0,0,9999
W ,Drake Osborn C | ARI ,0,.000,0,0,0,9999
W ,Nate Baez C | MIN ,0,.000,0,0,0,9999
W ,Joey Harris C | WAS ,0,.000,0,0,0,9999
W ,Jack Murphy C | MIA ,0,.000,0,0,0,9999
W ,Grant Koch C | PIT ,0,.000,0,0,0,9999
W ,Lorenzo Quintana C | MIA ,0,.000,0,0,0,9999
W ,Will Allen C | DET ,0,.000,0,0,0,9999
W ,Caleb Roberts C | ARI ,0,.000,0,0,0,9999
W ,Robert Brooks C | TOR ,0,.000,0,0,0,9999
W ,Radley Haddad C | NYY ,0,.000,0,0,0,9999
W ,Irving Wilson C | STL ,0,.000,0,0,0,9999
W ,Dario Laverde C | LAA ,0,.000,0,0,0,9999
W ,Andrick Nava C | PHI ,0,.000,0,0,0,9999
W ,Brett Wellman C | TOR ,0,.000,0,0,0,9999
W ,Abraham Gutierrez C | PIT ,0,.000,0,0,0,9999
W ,Caleb Lomavita C | WAS ,0,.000,0,0,0,9999
W ,Israel Pineda C | WAS ,0,.000,0,0,0,9999
W ,Austin Athmann C | DET ,0,.000,0,0,0,9999
W ,Frank Nigro C | MIN ,0,.000,0,0,0,9999
W ,Carter Jensen C | KC,0,.000,0,0,0,9999
W ,Lamar King C | SD ,0,.000,0,0,0,9999
W ,Evan Skoug C | CHW ,0,.000,0,0,0,9999
W ,Brett Sullivan C | PIT ,0,.000,0,0,0,9999
W ,Nathan Rodriguez C | MIL ,0,.000,0,0,0,9999
W ,Michael Miller C | SD ,0,.000,0,0,0,9999
W ,Jose Mena C | NYM ,0,.000,0,0,0,9999
W ,Jordan Procyshen C | LAD ,0,.000,0,0,0,9999
W ,Kale Emshoff C | KC ,0,.000,0,0,0,9999
W ,Luis Avalo C | MIL ,0,.000,0,0,0,9999
W ,Michael Hernandez C | MIA ,0,.000,0,0,0,9999
W ,Josue Briceno C | DET ,0,.000,0,0,0,9999
W ,Ryan Ignoffo C | MIA ,0,.000,0,0,0,9999
W ,Sergio Tapia C | DET ,0,.000,0,0,0,9999
W ,Ryan Campos C | STL ,0,.000,0,0,0,9999
W ,Nerio Rodriguez C | HOU ,0,.000,0,0,0,9999
W ,Juan Apodaca C | TEX ,0,.000,0,0,0,9999
W ,Matt Morgan C | TOR ,0,.000,0,0,0,9999
W ,Dominic Miroglio C | ARI ,0,.000,0,0,0,9999
W ,Josh Morgan C | SEA ,0,.000,0,0,0,9999
W ,Daniel Susac C | SF ,0,.000,0,0,0,9999
W ,Chris Berset C | CIN ,0,.000,0,0,0,9999
W ,Garrett Wolforth C | CIN ,0,.000,0,0,0,9999
W ,Andrew Cossetti C | MIN ,0,.000,0,0,0,9999
W ,Hemmanuel Rosario C | NYY ,0,.000,0,0,0,9999
W ,Matt Dyer C | TB ,0,.000,0,0,0,9999
W ,Jason Lopez C | NYY ,0,.000,0,0,0,9999
W ,Jeyner Baez C | WAS ,0,.000,0,0,0,9999
W ,Michael Trautwein C | CIN ,0,.000,0,0,0,9999
W ,Rene Garcia C | MIL ,0,.000,0,0,0,9999
W ,Maxwell Romero C | WAS ,0,.000,0,0,0,9999
Magnum GI,Kyle Teel C | CHW,0,.000,0,0,0,9999
W ,Melvin Novoa C | TEX ,0,.000,0,0,0,9999
W ,Collin Theroux C | ATH ,0,.000,0,0,0,9999
W ,Freuddy Batista C | SEA ,0,.000,0,0,0,9999
W ,Anthony Quirion C | PHI ,0,.000,0,0,0,9999
W ,Derek Berg C | PIT ,0,.000,0,0,0,9999
W ,Ivan Luciano C | ARI ,0,.000,0,0,0,9999
W ,Samuel Basallo C | BAL,0,.000,0,0,0,9999
W ,Marco Dinges C | MIL ,0,.000,0,0,0,9999
W ,Sam Praytor C | MIA ,0,.000,0,0,0,9999
W ,Jeff Howell C | WAS ,0,.000,0,0,0,9999
W ,Jesus Lopez C | TEX ,0,.000,0,0,0,9999
W ,Omar Hernandez C | KC ,0,.000,0,0,0,9999
W ,Eliezer Alfonzo C | DET ,0,.000,0,0,0,9999
W ,Jesus Galiz C | LAD ,0,.000,0,0,0,9999
W ,Logan Porter C | SF ,0,.000,0,0,0,9999
W ,Juan Flores C | LAA ,0,.000,0,0,0,9999
W ,Matt Winn C | SF ,0,.000,0,0,0,9999
W ,Noah Cardenas C | MIN ,0,.000,0,0,0,9999
W ,Thayron Liranzo C | DET ,0,.000,0,0,0,9999
W ,Mayo Acosta C | TB ,0,.000,0,0,0,9999
W ,Brad Haynal C | MIA ,0,.000,0,0,0,9999
W ,Jan Mercado C | MIA ,0,.000,0,0,0,9999
W ,Rainiel Rodriguez C | STL ,0,.000,0,0,0,9999
W ,Kyle Hayes C | KC ,0,.000,0,0,0,9999
W ,Jason Hagerty C | SD ,0,.000,0,0,0,9999
W ,Ronaiker Palma C | COL ,0,.000,0,0,0,9999
W ,Harry Ford C | WAS ,0,.000,0,0,0,9999
W ,Christian Molfetta C | DET ,0,.000,0,0,0,9999
W ,Jose Mujica C | ATH ,0,.000,0,0,0,9999
W ,Konner Piotto C | TEX ,0,.000,0,0,0,9999
W ,Ethan Anderson C | BAL ,0,.000,0,0,0,9999
W ,Wilmer Dominguez C | TB ,0,.000,0,0,0,9999
W ,Johanfran Garcia C | BOS ,0,.000,0,0,0,9999
W ,Kole Cottam C | BOS ,0,.000,0,0,0,9999
W ,Hayden Senger C | NYM,0,.000,0,0,0,9999
W ,Jon Rosoff C | DET ,0,.000,0,0,0,9999
W ,Shane McGuire C | ATH ,0,.000,0,0,0,9999
W ,Jan Vazquez C | COL ,0,.000,0,0,0,9999
W ,Josh Caron C | SEA ,0,.000,0,0,0,9999
W ,Addison Kopack C | SD ,0,.000,0,0,0,9999
W ,Joey Morgan C | DET ,0,.000,0,0,0,9999
W ,Rodolfo Duran C | SD ,0,.000,0,0,0,9999
W ,Alex Holderbach C | HOU ,0,.000,0,0,0,9999
W ,Freddy Guilamo C | HOU ,0,.000,0,0,0,9999
W ,Brian O'Keefe C | KC ,0,.000,0,0,0,9999
W ,Adam Retzbach C | BAL ,0,.000,0,0,0,9999
W ,Victor Planchart C | CLE ,0,.000,0,0,0,9999
W ,Malcolm Moore C | TEX ,0,.000,0,0,0,9999
W ,Edward Duran C | TOR ,0,.000,0,0,0,9999
W ,Ashley Graeter C | COL ,0,.000,0,0,0,9999
W ,Carlos Martinez C | ATL ,0,.000,0,0,0,9999
W ,Caleb Hamilton C | LAA ,0,.000,0,0,0,9999
W ,Carlos Linarez C | STL ,0,.000,0,0,0,9999
W ,Pablo Aliendo C | CHC ,0,.000,0,0,0,9999
W ,Juan Centeno C | ARI ,0,.000,0,0,0,9999
W ,Graysen Tarlow C | STL ,0,.000,0,0,0,9999
W ,Cooper Ingle C | CLE ,0,.000,0,0,0,9999
W ,Chuck Moorman C | ATH ,0,.000,0,0,0,9999
W ,Yovanny Rodriguez C | NYM ,0,.000,0,0,0,9999
W ,Taylor Hawkins C | TB ,0,.000,0,0,0,9999
