All Utility Players 2024  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,"LaMonte Wade 1B,OF | LAA",8,.380,45,34,2,398
W ,"Edmundo Sosa 2B,3B | PHI",7,.312,39,31,7,399
W ,Matt Wallner OF | MIN,13,.372,26,37,3,400
W ,Max Kepler OF | PHI,8,.301,43,42,1,401
Dawg,"Jared Triolo 1B,3B,SS | PIT",9,.296,41,46,8,402
W ,"Davis Schneider 2B,OF | TOR",13,.282,48,46,6,403
W ,Kevin Newman 3B | LAA ,3,.311,41,28,8,404
Long Balls,Ivan Herrera DH | STL ,5,.372,37,27,5,405
W ,Jonah Bride 3B | MIN ,11,.357,30,39,0,406
W ,"Josh Rojas 2B,3B | CHW",8,.304,48,31,10,409
W ,Stuart Fairchild OF | TB ,8,.286,33,30,13,411
W ,Donovan Solano 1B | TEX,8,.343,31,35,2,412
W ,Mike Siani OF | LAD ,2,.285,42,20,20,413
W ,Freddy Fermin C | SD,6,.319,40,36,2,414
W ,"Brayan Rocchio 2B,SS | CLE",8,.298,50,36,10,415
W ,"Enrique Hernandez 1B,3B,OF | LAD ",12,.281,44,42,0,416
W ,Gio Urshela 3B | ATH,9,.286,34,52,0,417
W ,Tyler Freeman OF | COL ,7,.305,48,32,11,418
W ,Garrett Mitchell OF | MIL ,8,.342,33,21,11,419
Big Sticks,Ronald Acuna Jr. OF | ATL ,4,.351,38,15,16,423
W ,Will Brennan OF | CLE ,8,.309,37,30,4,427
Gashouse Gang,"Romy Gonzalez 1B,2B | BOS",6,.306,25,29,11,431
W ,Connor Joe OF | CIN ,9,.320,49,36,2,432
W ,Bo Naylor C | CLE,13,.264,39,39,6,435
W ,Thairo Estrada 2B | COL ,9,.247,43,47,2,437
Rieken Havoc,J.P. Crawford SS | SEA,9,.304,55,37,5,438
W ,Whit Merrifield 2B | ATL,4,.311,44,15,17,440
W ,Jason Heyward OF | SD ,10,.288,33,37,5,442
W ,Jonny DeLuca OF | TB ,6,.278,29,31,16,443
W ,Jacob Stallings C | BAL,9,.357,31,36,0,444
W ,David Peralta OF | SD,8,.335,35,28,2,446
W ,Gavin Sheets OF | SD,10,.303,35,45,2,447
W ,Pavin Smith 1B | ARI ,9,.348,26,36,1,448
W ,Korey Lee C | CHW,12,.244,36,37,6,449
W ,Mitch Haniger OF | SEA,12,.286,42,44,0,455
W ,Triston Casas 1B | BOS ,13,.337,28,32,0,456
W ,"Miguel Andujar 3B,OF | CIN",4,.320,31,30,3,457
Long Balls,Spencer Torkelson 1B | DET,10,.295,45,37,0,458
W ,Sam Hilliard OF | COL ,10,.305,26,27,5,459
W ,Juan Yepez 1B | WAS ,6,.335,32,26,2,462
Magnum GI,"Lenyn Sosa 1B,2B | CHW",8,.283,28,35,3,463
W ,Miguel Amaya C | CHC,8,.288,32,47,0,468
W ,Luis Campusano DH | SD ,8,.281,37,40,0,472
W ,Ke'Bryan Hayes 3B | CIN,4,.283,38,25,11,475
W ,Alejandro Kirk C | TOR ,5,.319,23,54,0,478
W ,Victor Caratini C | HOU,8,.336,30,30,0,480
W ,Jorge Mateo OF | BAL ,5,.267,30,18,13,482
W ,"Zach McKinstry 3B,SS,OF | DET",4,.277,32,23,16,483
W ,Carson Kelly C | CHC,9,.313,32,37,0,486
W ,Elias Diaz C | SD ,6,.313,27,39,0,489
W ,Gary Sanchez C | BAL,11,.307,30,37,0,491
W ,Nick Gordon OF | BAL ,8,.258,29,32,5,496
W ,Mitch Garver C | SEA ,15,.286,37,51,0,500
W ,Manuel Margot OF | DET ,4,.289,37,31,5,503
W ,Jake Rogers C | DET ,10,.255,43,36,1,504
W ,Eddie Rosario DH | MIL ,10,.214,33,35,9,505
W ,Anthony Rizzo 1B | NYY,8,.301,38,35,0,508
W ,Connor Norby 3B | MIA,9,.294,32,20,3,510
W ,Jhonkensy Noel OF | CLE ,13,.288,25,28,0,513
W ,Harold Ramirez DH | WAS,2,.281,28,29,6,515
Guillotine,Hunter Goodman C | COL,13,.228,24,36,1,520
W ,Abraham Toro 1B | BOS ,6,.293,34,26,4,521
W ,Austin Martin OF | MIN,1,.318,41,16,7,522
W ,Dominic Smith 1B | SF,6,.313,33,34,1,527
W ,Chas McCormick OF | HOU ,5,.271,32,27,8,528
W ,Andy Ibanez 3B | DET ,5,.295,30,32,2,529
W ,James McCann C | ARI ,8,.279,27,31,1,530
W ,Derek Hill OF | CHW ,7,.271,19,25,6,536
W ,Jack Suwinski OF | PIT ,9,.265,29,26,9,537
W ,Michael Taylor OF | CHW,5,.253,35,21,12,539
W ,"Edouard Julien 1B,2B | MIN",8,.292,36,21,6,547
W ,Yasmani Grandal C | PIT,9,.304,26,27,1,549
W ,Ildemaro Vargas 2B | ARI ,1,.295,21,30,9,554
W ,Nelson Velazquez DH | KC,8,.274,31,27,2,564
Runtime Terror,Mike Trout OF | LAA ,10,.325,17,14,6,565
W ,"Javier Baez 3B,SS,OF | DET",6,.222,25,37,8,567
W ,"Tommy Edman 2B,OF | LAD ",6,.294,20,20,6,568
Rieken Havoc,Bo Bichette SS | TOR ,4,.277,29,31,5,570
W ,Christian Vazquez C | MIN,7,.248,29,27,3,577
Magnum GI,Josh Jung 3B | TEX,7,.298,19,16,4,579
W ,Jose Trevino C | CIN,8,.288,26,28,1,580
