All Second Basemen 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Simba's Dublin Green Sox,Brice Turang 2B | MIL,18,.359,97,81,24,26
W ,Yoeilin Cespedes 2B | BOS ,0,.000,0,0,0,9999
W ,Will Verdung 2B | ATL ,0,.000,0,0,0,9999
W ,Kobe Kato 2B | ATL ,0,.000,0,0,0,9999
W ,Angeudis Santos 2B | MIA ,0,.000,0,0,0,9999
W ,Luis Santos 2B | NYY ,0,.000,0,0,0,9999
W ,Alex De Goti 2B | TEX ,0,.000,0,0,0,9999
W ,Livan Soto 2B | BAL ,0,.000,0,0,0,9999
W ,Luis Valdez 2B | BAL ,0,.000,0,0,0,9999
W ,Jeff Boehm 2B | LAA ,0,.000,0,0,0,9999
W ,Mattingly Romanin 2B | TOR ,0,.000,0,0,0,9999
W ,Erich Weiss 2B | PIT ,0,.000,0,0,0,9999
W ,Omar Obregon 2B | ATL ,0,.000,0,0,0,9999
W ,L.J. Talley 2B | TOR ,0,.000,0,0,0,9999
W ,Nick Roselli 2B | NYM ,0,.000,0,0,0,9999
W ,Cobie Vance 2B | MIA ,0,.000,0,0,0,9999
W ,Jean Walters 2B | ARI ,0,.000,0,0,0,9999
W ,Deivis Nadal 2B | KC ,0,.000,0,0,0,9999
W ,Mason Davis 2B | MIA ,0,.000,0,0,0,9999
W ,Demetrio Crisantes 2B | ARI ,0,.000,0,0,0,9999
W ,Yolmer Sanchez 2B | LAA ,0,.000,0,0,0,9999
W ,Emerson Landoni 2B | ATL ,0,.000,0,0,0,9999
W ,Bryan Arias 2B | HOU ,0,.000,0,0,0,9999
W ,Carlos Rivero 2B | CIN ,0,.000,0,0,0,9999
W ,Kevin Milam 2B | NYY ,0,.000,0,0,0,9999
W ,Victor Manuel Acosta 2B | CIN ,0,.000,0,0,0,9999
W ,Pascanel Ferreras 2B | HOU,0,.000,0,0,0,9999
W ,Patrick Dorrian 2B | MIL ,0,.000,0,0,0,9999
W ,Nick Goodwin 2B | TOR ,0,.000,0,0,0,9999
W ,JJ Muno 2B | CHW,0,.000,0,0,0,9999
W ,Zac Cook 2B | TOR ,0,.000,0,0,0,9999
W ,Nick Shaw 2B | MIL ,0,.000,0,0,0,9999
W ,Ty Washington 2B | MIA ,0,.000,0,0,0,9999
W ,Christian Donahue 2B | CHC ,0,.000,0,0,0,9999
W ,Carlos Sepulveda 2B | CHC ,0,.000,0,0,0,9999
W ,Trent Farquhar 2B | PHI,0,.000,0,0,0,9999
W ,Jose Gomez 2B | LAA ,0,.000,0,0,0,9999
W ,Ricardo Gonzalez 2B | TB ,0,.000,0,0,0,9999
W ,Marcus Chiu 2B | MIA,0,.000,0,0,0,9999
W ,Jordan McCants 2B | MIA ,0,.000,0,0,0,9999
W ,Hunter Haas 2B | TB ,0,.000,0,0,0,9999
W ,Justin Riemer 2B | BOS ,0,.000,0,0,0,9999
W ,Mitchell Tolman 2B | ATL ,0,.000,0,0,0,9999
W ,Jason Leblebijian 2B | TOR ,0,.000,0,0,0,9999
