All First Basemen 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Simba's Dublin Green Sox,Pete Alonso 1B | BAL ,38,.347,87,126,1,21
W ,Edwin Espinal 1B | DET ,0,.000,0,0,0,9999
W ,Brad Zunica 1B | SD ,0,.000,0,0,0,9999
W ,Jonathan Rodriguez 1B | MIA ,0,.000,0,0,0,9999
W ,Jacson McGowan 1B | TB ,0,.000,0,0,0,9999
W ,Daniel Palka 1B | BOS ,0,.000,0,0,0,9999
W ,Chris DeVito 1B | KC ,0,.000,0,0,0,9999
W ,Alexander Mojica 1B | PIT ,0,.000,0,0,0,9999
W ,Jacob Jenkins-Cowart 1B | MIA ,0,.000,0,0,0,9999
W ,Carson Taylor 1B | PHI ,0,.000,0,0,0,9999
W ,Aidan Longwell 1B | COL ,0,.000,0,0,0,9999
W ,Cristian Santana 1B | DET ,0,.000,0,0,0,9999
W ,Mitch Reeves 1B | CLE ,0,.000,0,0,0,9999
W ,Nathaniel Hickey 1B | BOS ,0,.000,0,0,0,9999
W ,Chris Pieters 1B | CHC ,0,.000,0,0,0,9999
W ,Wladimir Galindo 1B | CHC ,0,.000,0,0,0,9999
W ,Joey Meneses 1B | NYM ,0,.000,0,0,0,9999
W ,Andrew Jenkins 1B | DET ,0,.000,0,0,0,9999
W ,Leonardo Seminati 1B | CIN ,0,.000,0,0,0,9999
W ,Avain Rachal 1B | CIN ,0,.000,0,0,0,9999
W ,Nicholas Vizcaino 1B | ATL ,0,.000,0,0,0,9999
W ,Nick Pratto 1B | KC,0,.000,0,0,0,9999
W ,Edgar Alvarez 1B | CHC ,0,.000,0,0,0,9999
W ,Will Frizzell 1B | WAS ,0,.000,0,0,0,9999
W ,Jayce Boyd 1B | NYM ,0,.000,0,0,0,9999
W ,Shawn Pleffner 1B | WAS ,0,.000,0,0,0,9999
W ,Brandon Lewis 1B | LAD ,0,.000,0,0,0,9999
W ,Matt Beaty 1B | KC,0,.000,0,0,0,9999
W ,Charlie Condon 1B | COL ,0,.000,0,0,0,9999
W ,Trey Vavra 1B | MIN ,0,.000,0,0,0,9999
W ,Jeremy Vasquez 1B | NYM ,0,.000,0,0,0,9999
W ,John Rhodes 1B | BAL ,0,.000,0,0,0,9999
W ,Rixon Taylor-Wingrove 1B | PHI ,0,.000,0,0,0,9999
W ,Jackson Feltner 1B | ARI ,0,.000,0,0,0,9999
W ,Arturo Disla 1B | TEX ,0,.000,0,0,0,9999
W ,Jake Holton 1B | DET ,0,.000,0,0,0,9999
W ,Nathan Martorella 1B | MIA ,0,.000,0,0,0,9999
W ,Ruben Santana 1B | ARI ,0,.000,0,0,0,9999
W ,Blaze Jordan 1B | STL ,0,.000,0,0,0,9999
W ,Zachary Zubia 1B | MIA ,0,.000,0,0,0,9999
W ,Kevin Ereu 1B | MIL ,0,.000,0,0,0,9999
W ,Rainer Nunez 1B | TOR ,0,.000,0,0,0,9999
W ,Trae Santos 1B | SD ,0,.000,0,0,0,9999
W ,Gabe Snyder 1B | MIN ,0,.000,0,0,0,9999
W ,Wes Clarke 1B | MIL ,0,.000,0,0,0,9999
W ,Tyler Moore 1B | NYM ,0,.000,0,0,0,9999
W ,Kacy Clemens 1B | TOR ,0,.000,0,0,0,9999
W ,Brennan Milone 1B | ATH ,0,.000,0,0,0,9999
W ,Aaron Sabato 1B | MIN,0,.000,0,0,0,9999
W ,Matthew Batten 1B | ATL ,0,.000,0,0,0,9999
W ,Chase Strumpf 1B | CHC ,0,.000,0,0,0,9999
W ,Jason Pineda 1B | SD ,0,.000,0,0,0,9999
W ,Ricky Oropesa 1B | SF ,0,.000,0,0,0,9999
W ,Lucas Tancas 1B | PIT ,0,.000,0,0,0,9999
W ,Kale Fountain 1B | SD ,0,.000,0,0,0,9999
W ,Luis Torres 1B | LAA ,0,.000,0,0,0,9999
W ,Andrew Daschbach 1B | BAL ,0,.000,0,0,0,9999
W ,Steven Sensley 1B | NYY ,0,.000,0,0,0,9999
W ,Chad Christensen 1B | MIN ,0,.000,0,0,0,9999
W ,Spencer Henson 1B | NYY ,0,.000,0,0,0,9999
W ,D.J. Stewart 1B | PHI ,0,.000,0,0,0,9999
W ,Jordy Lara 1B | ATL ,0,.000,0,0,0,9999
W ,Viosergy Rosa 1B | ATH ,0,.000,0,0,0,9999
W ,Cal Towey 1B | LAA ,0,.000,0,0,0,9999
W ,Dennis Raben 1B | SEA ,0,.000,0,0,0,9999
W ,Leandro Emiliani 1B | WAS ,0,.000,0,0,0,9999
W ,Dillan Shrum 1B | KC ,0,.000,0,0,0,9999
W ,Jacob Rogers 1B | CHC ,0,.000,0,0,0,9999
W ,Jake Brodt 1B | TOR ,0,.000,0,0,0,9999
W ,Lyle Lin 1B | ATH ,0,.000,0,0,0,9999
W ,Luke Voit 1B | NYM ,0,.000,0,0,0,9999
W ,Justin Seager 1B | SEA ,0,.000,0,0,0,9999
W ,Kole Calhoun 1B | CLE,0,.000,0,0,0,9999
W ,Will Maddox 1B | SF ,0,.000,0,0,0,9999
W ,J.D. Mundy 1B | BAL ,0,.000,0,0,0,9999
W ,Chris Jacobs 1B | STL ,0,.000,0,0,0,9999
W ,Tyler Hardman 1B | NYY ,0,.000,0,0,0,9999
W ,Chris Meyers 1B | DET ,0,.000,0,0,0,9999
W ,Nick Patten 1B | PIT ,0,.000,0,0,0,9999
W ,Robert Perez 1B | SD ,0,.000,0,0,0,9999
W ,Jantzen Witte 1B | SD ,0,.000,0,0,0,9999
W ,Kevin Padlo 1B | LAD ,0,.000,0,0,0,9999
W ,Quincy Nieporte 1B | DET ,0,.000,0,0,0,9999
W ,Manuel Pena 1B | ARI,0,.000,0,0,0,9999
