"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","r_total_caught_stealing","r_total_stolen_base","b_intent_walk","r_run","xba","xslg","xwoba","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","sprint_speed"
"Arias, Gabriel",672356,2023,23,315,345,66,41,15,0,10,113,28,32.8,8.1,".210",".352",".275","0.627","0.142",".290","26","4","3","0","36",".230",".407",".304",".294","91.1","3.7",31,9.9,46.3,"101.9318672","95.322139548",37.7,55.5,"28.0"
"Adames, Willy",642715,2023,27,553,638,120,65,29,2,24,165,71,25.9,11.1,".217",".407",".310","0.717","0.190",".259","80","3","5","1","73",".240",".436",".335",".332","87.4","18.2",35,12.4,36.5,"99.086365635","93.664258959",31,50,"27.6"
"Langeliers, Shea",669127,2023,25,448,490,92,47,19,4,22,143,34,29.2,6.9,".205",".413",".268","0.681","0.208",".246","63","2","3","2","52",".211",".423",".297",".273","90.6","19.6",30.8,13.3,44.5,"101.929508117","95.365956026",32.1,50.3,"28.4"
"Soderstrom, Tyler",691016,2023,21,125,138,20,16,1,0,3,43,11,31.2,8,".160",".240",".232","0.472","0.080",".212","7","0","0","0","9",".215",".339",".276",".283","89.3","5.7",26.5,6,39.8,"101.153127381","94.848388313",32.9,49.7,"25.7"
"Anderson, Brian",605119,2023,30,318,361,72,48,12,3,9,108,36,29.9,10,".226",".368",".310","0.678","0.142",".309","40","3","1","0","38",".231",".391",".316",".318","87.6","9.9",34.3,10.3,37.1,"99.655808491","93.945080472",33.3,48.9,"26.4"
"Sánchez, Jesús",660821,2023,25,360,402,91,51,23,3,14,107,38,26.6,9.5,".253",".450",".327","0.777","0.197",".321","52","1","3","1","43",".265",".473",".350",".339","90.4","5.6",32.9,12.2,46.3,"103.172158492","95.857175913",30.1,48.9,"27.5"
"Freeman, Tyler",671289,2023,24,153,168,37,26,7,0,4,30,10,17.9,6,".242",".366",".295","0.661","0.124",".275","18","0","5","0","20",".272",".397",".315",".323","85.8","6.2",38.9,3.2,38.1,"99.035576452","93.596430081",17.8,47.6,"28.6"
"Rogers, Jake",668670,2023,28,331,365,73,41,11,0,21,118,28,32.3,7.7,".221",".444",".286","0.730","0.223",".268","49","1","1","0","47",".227",".449",".321",".295","90.4","14.7",40.3,12,45.6,"100.372054766","94.614399346",31.7,45.8,"27.2"
"Newman, Kevin",621028,2023,29,225,253,57,38,16,0,3,34,17,13.4,6.7,".253",".364",".311","0.675","0.111",".280","28","1","8","0","28",".272",".374",".311",".331","86.5","12",35.4,2.5,29.3,"96.650571327","92.359183077",14.8,46.6,"28.0"
"Wallach, Chad",595453,2023,31,157,172,31,18,5,1,7,57,13,33.1,7.6,".197",".376",".259","0.635","0.179",".258","15","1","0","0","18",".212",".405",".292",".273","87.7","16.7",35.3,10.8,33,"97.89839551","92.949197755",34.8,50,"24.3"
"Marte, Starling",516782,2023,34,315,341,78,65,7,1,5,69,16,20.2,4.7,".248",".324",".301","0.625","0.076",".303","28","4","24","1","38",".261",".402",".312",".314","88.2","6.3",30.6,5.6,39.5,"100.135976281","94.129016405",27.8,53.8,"27.1"
