All Second Basemen 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,"Angel Martinez 2B,OF | CLE",0,.000,0,0,0,9999
W ,Dervy Ventura 2B | SEA ,0,.000,0,0,0,9999
W ,Frederick Bencosme 2B | BAL ,0,.000,0,0,0,9999
W ,Nick Dunn 2B | SEA ,0,.000,0,0,0,9999
W ,Max Anderson 2B | DET ,0,.000,0,0,0,9999
W ,Anthony Servideo 2B | BAL ,0,.000,0,0,0,9999
W ,Leury Garcia 2B | ATL ,0,.000,0,0,0,9999
W ,Drew Stankiewicz 2B | CLE ,0,.000,0,0,0,9999
W ,Brett Auerbach 2B | SF ,0,.000,0,0,0,9999
W ,Euribiel Angeles 2B | ATH ,0,.000,0,0,0,9999
W ,Kevin Made 2B | WAS ,0,.000,0,0,0,9999
W ,Yiddi Cappe 2B | MIA ,0,.000,0,0,0,9999
W ,Gabriel Cancel 2B | KC ,0,.000,0,0,0,9999
W ,JT Mabry 2B | MIA ,0,.000,0,0,0,9999
Young Guns,"Otto Lopez 2B,SS | MIA",0,.000,0,0,0,9999
W ,Pascanel Ferreras 2B | HOU,0,.000,0,0,0,9999
W ,Wilman Diaz 2B | LAD ,0,.000,0,0,0,9999
W ,Ryan Bliss 2B | SEA ,0,.000,0,0,0,9999
W ,Joey DeMichele 2B | CHW ,0,.000,0,0,0,9999
W ,Carlos Rivero 2B | CIN ,0,.000,0,0,0,9999
W ,Ryan Burrowes 2B | CHW ,0,.000,0,0,0,9999
W ,Jacob Berry 2B | MIA ,0,.000,0,0,0,9999
W ,Ryan Grotjohn 2B | ARI ,0,.000,0,0,0,9999
W ,Javier Mogollon 2B | CHW ,0,.000,0,0,0,9999
W ,Peyton Graham 2B | DET ,0,.000,0,0,0,9999
W ,Jancarlos Cintron 2B | ARI ,0,.000,0,0,0,9999
W ,Mattingly Romanin 2B | TOR ,0,.000,0,0,0,9999
W ,Blake Barber 2B | MIA ,0,.000,0,0,0,9999
W ,Marco Vargas 2B | NYM ,0,.000,0,0,0,9999
W ,Franklin Rollin 2B | TEX ,0,.000,0,0,0,9999
W ,Galli Cribbs 2B | ARI ,0,.000,0,0,0,9999
W ,Brantley Bell 2B | CIN ,0,.000,0,0,0,9999
W ,Ray Chang 2B | CIN ,0,.000,0,0,0,9999
W ,Abrahan Ramirez 2B | MIA ,0,.000,0,0,0,9999
W ,Tim Arakawa 2B | LAA ,0,.000,0,0,0,9999
W ,Ordomar Valdez 2B | CLE ,0,.000,0,0,0,9999
W ,Adrian Placencia 2B | LAA ,0,.000,0,0,0,9999
W ,Josh Vidales 2B | ATH ,0,.000,0,0,0,9999
W ,Gregory Guerrero 2B | NYM ,0,.000,0,0,0,9999
W ,Jose Rosario 2B | BOS ,0,.000,0,0,0,9999
W ,Brian Burgamy 2B | LAD ,0,.000,0,0,0,9999
W ,Patrick Frick 2B | SEA ,0,.000,0,0,0,9999
W ,Cody Morissette 2B | MIA ,0,.000,0,0,0,9999
W ,Dale Burdick 2B | NYM ,0,.000,0,0,0,9999
W ,Jaime Pedroza 2B | CHW ,0,.000,0,0,0,9999
W ,"Thomas Saggese 2B,SS | STL",0,.000,0,0,0,9999
W ,Dilson Herrera 2B | CIN ,0,.000,0,0,0,9999
W ,Jeff Boehm 2B | LAA ,0,.000,0,0,0,9999
W ,Kyle McPherson 2B | SF ,0,.000,0,0,0,9999
W ,Henry Castillo 2B | ARI ,0,.000,0,0,0,9999
W ,Trent Farquhar 2B | PHI,0,.000,0,0,0,9999
W ,Hoy Jun Park 2B | ATH ,0,.000,0,0,0,9999
W ,Cole Young 2B | SEA ,0,.000,0,0,0,9999
W ,Arturo Michelena 2B | HOU ,0,.000,0,0,0,9999
W ,Jansel Luis 2B | ARI ,0,.000,0,0,0,9999
W ,Drew Turbin 2B | BAL ,0,.000,0,0,0,9999
W ,Kody Eaves 2B | MIN ,0,.000,0,0,0,9999
W ,Sammy Faltine 2B | CIN ,0,.000,0,0,0,9999
W ,Ian Sagdal 2B | WAS ,0,.000,0,0,0,9999
W ,Ashton McGee 2B | MIL ,0,.000,0,0,0,9999
W ,Nikau Pouaka-Grego 2B | PHI ,0,.000,0,0,0,9999
Big Sticks,Christian Moore 2B | LAA,0,.000,0,0,0,9999
W ,Bryce Windham 2B | CHC ,0,.000,0,0,0,9999
W ,Jean Perez 2B | COL ,0,.000,0,0,0,9999
W ,Vinny Siena 2B | NYM ,0,.000,0,0,0,9999
W ,Connor Owings 2B | ARI ,0,.000,0,0,0,9999
W ,"Tim Tawa 1B,2B,OF | ARI",0,.000,0,0,0,9999
W ,Ripken Reyes 2B | SD ,0,.000,0,0,0,9999
W ,Kevin Milam 2B | NYY ,0,.000,0,0,0,9999
W ,Dameury Pena 2B | MIN ,0,.000,0,0,0,9999
W ,Cullen Large 2B | TOR ,0,.000,0,0,0,9999
W ,Julio Carreras 2B | COL ,0,.000,0,0,0,9999
W ,"Brooks Lee 2B,3B,SS | MIN",0,.000,0,0,0,9999
W ,Taylor Young 2B | LAD ,0,.000,0,0,0,9999
W ,Levi Michael 2B | SF ,0,.000,0,0,0,9999
W ,Blake Butler 2B | CIN ,0,.000,0,0,0,9999
W ,Angelo Mora 2B | LAD ,0,.000,0,0,0,9999
W ,Deivis Nadal 2B | KC ,0,.000,0,0,0,9999
W ,Chandler Redmond 2B | STL ,0,.000,0,0,0,9999
W ,Cole Freeman 2B | WAS ,0,.000,0,0,0,9999
W ,Daniel Bravo 2B | SD ,0,.000,0,0,0,9999
W ,Jorel Ortega 2B | MIN ,0,.000,0,0,0,9999
W ,Carter Aldrete 2B | ATH ,0,.000,0,0,0,9999
W ,Yeiner Fernandez 2B | LAD ,0,.000,0,0,0,9999
W ,Jonathan Mejia 2B | STL ,0,.000,0,0,0,9999
