All Shortstops 2021  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Andy Perez SS | COL ,0,.000,0,0,0,9999
W ,Jadher Areinamo SS | TB ,0,.000,0,0,0,9999
W ,Andrew Navigato SS | DET ,0,.000,0,0,0,9999
W ,"Ezequiel Duran 1B,SS | TEX",0,.000,0,0,0,9999
W ,Yeyson Yrizarri SS | CHW ,0,.000,0,0,0,9999
W ,Kevin Villavicencio SS | NYM ,0,.000,0,0,0,9999
W ,Jecksson Flores SS | WAS ,0,.000,0,0,0,9999
W ,Brandon Van Horn SS | SF ,0,.000,0,0,0,9999
W ,Leonardo Balcazar SS | CIN ,0,.000,0,0,0,9999
W ,"Thomas Saggese 2B,SS | STL",0,.000,0,0,0,9999
W ,JoJo Parker SS | TOR ,0,.000,0,0,0,9999
W ,Cristian Gonzalez SS | HOU ,0,.000,0,0,0,9999
W ,Daniel Pierce SS | TB ,0,.000,0,0,0,9999
W ,Arol Vera SS | LAA ,0,.000,0,0,0,9999
W ,Mikey Perez SS | MIN ,0,.000,0,0,0,9999
W ,Kodie Tidwell SS | SD ,0,.000,0,0,0,9999
W ,Daniel Vazquez SS | KC ,0,.000,0,0,0,9999
W ,Anderson Green SS | CHC ,0,.000,0,0,0,9999
W ,Naibel Mariano SS | CIN ,0,.000,0,0,0,9999
W ,Jason Martinson SS | TEX ,0,.000,0,0,0,9999
W ,Dixon Machado SS | CHC ,0,.000,0,0,0,9999
W ,Cristian Perez SS | NYY ,0,.000,0,0,0,9999
W ,Kelson Brown SS | PIT ,0,.000,0,0,0,9999
W ,Andrew Sohn SS | STL ,0,.000,0,0,0,9999
W ,Sean Jamieson SS | ARI ,0,.000,0,0,0,9999
W ,Javier Betancourt SS | MIL ,0,.000,0,0,0,9999
W ,Marek Houston SS | MIN ,0,.000,0,0,0,9999
W ,Jesus Castillo SS | PIT ,0,.000,0,0,0,9999
W ,John Wimmer SS | LAA ,0,.000,0,0,0,9999
W ,Harrison Spohn SS | MIA ,0,.000,0,0,0,9999
W ,Payton Eeles SS | MIN ,0,.000,0,0,0,9999
W ,Ryan Howard SS | SF ,0,.000,0,0,0,9999
W ,Jose Escobar SS | CHC ,0,.000,0,0,0,9999
W ,Johnny Olmstead SS | MIA ,0,.000,0,0,0,9999
W ,Jordan Yost SS | DET ,0,.000,0,0,0,9999
W ,Joseph Ortiz SS | MIL,0,.000,0,0,0,9999
W ,Colt Emerson SS | SEA ,0,.000,0,0,0,9999
W ,Cody Ramer SS | LAA ,0,.000,0,0,0,9999
W ,Bryson Brigman SS | LAD ,0,.000,0,0,0,9999
W ,Adrian Valerio SS | PIT ,0,.000,0,0,0,9999
W ,Alec Sole SS | TB ,0,.000,0,0,0,9999
W ,Kaylan Nicasia SS | MIL ,0,.000,0,0,0,9999
W ,Yeison Santana SS | SD ,0,.000,0,0,0,9999
W ,Trae Arbet SS | PIT ,0,.000,0,0,0,9999
Rieken Havoc,Carson Williams SS | TB,0,.000,0,0,0,9999
W ,Devin Hairston SS | MIA ,0,.000,0,0,0,9999
W ,Arjun Nimmala SS | TOR ,0,.000,0,0,0,9999
W ,"Brooks Lee 2B,3B,SS | MIN",0,.000,0,0,0,9999
W ,Luis Pintor SS | MIA ,0,.000,0,0,0,9999
W ,Ryan McCarty SS | TOR ,0,.000,0,0,0,9999
W ,Jeison Guzman SS | KC ,0,.000,0,0,0,9999
W ,Yohander Martinez SS | MIN ,0,.000,0,0,0,9999
W ,Alfredo Alcantara SS | CIN ,0,.000,0,0,0,9999
W ,Morgan McCullough SS | SEA ,0,.000,0,0,0,9999
W ,Matt McLaughlin SS | COL ,0,.000,0,0,0,9999
W ,Grenny Cumana SS | PHI ,0,.000,0,0,0,9999
W ,Tyresse Turner SS | CLE ,0,.000,0,0,0,9999
W ,Scott McKeon SS | CHC ,0,.000,0,0,0,9999
W ,Colby Jones SS | ATL ,0,.000,0,0,0,9999
W ,Yoander Rivero SS | WAS ,0,.000,0,0,0,9999
W ,Wyatt Young SS | NYM ,0,.000,0,0,0,9999
W ,Max Holy SS | HOU ,0,.000,0,0,0,9999
W ,Carter Young SS | BAL ,0,.000,0,0,0,9999
W ,Chris Seise SS | TEX ,0,.000,0,0,0,9999
W ,Emilio Sanchez SS | BAL ,0,.000,0,0,0,9999
W ,Robert Puason SS | ATH ,0,.000,0,0,0,9999
W ,Paul Witt SS | WAS ,0,.000,0,0,0,9999
W ,Yhoxian Medina SS | CLE,0,.000,0,0,0,9999
W ,Yanki Baptiste SS | CLE ,0,.000,0,0,0,9999
W ,Jay Harry SS | TOR ,0,.000,0,0,0,9999
W ,Gavin Kilen SS | SF ,0,.000,0,0,0,9999
W ,Keyber Rodriguez SS | TEX ,0,.000,0,0,0,9999
W ,German Ramirez SS | HOU ,0,.000,0,0,0,9999
W ,Brady McConnell SS | KC ,0,.000,0,0,0,9999
W ,Brainer Bonaci SS | BOS ,0,.000,0,0,0,9999
W ,Manny Rodriguez SS | NYM ,0,.000,0,0,0,9999
W ,Freylin Minyety SS | PHI ,0,.000,0,0,0,9999
W ,Cristian Gomez SS | LAD ,0,.000,0,0,0,9999
W ,Cam Clayton SS | MIA ,0,.000,0,0,0,9999
W ,Bryan Rincon SS | PHI ,0,.000,0,0,0,9999
W ,Osvaldo Abreu SS | WAS ,0,.000,0,0,0,9999
W ,Jose Monzon SS | TB ,0,.000,0,0,0,9999
W ,Trei Cruz SS | DET ,0,.000,0,0,0,9999
W ,Isan Castillo SS | WAS ,0,.000,0,0,0,9999
W ,Gabriel Rodriguez SS | CLE ,0,.000,0,0,0,9999
W ,Gavin Fien SS | TEX ,0,.000,0,0,0,9999
W ,LJ Hatch SS | COL ,0,.000,0,0,0,9999
W ,Miguelangel Sierra SS | HOU ,0,.000,0,0,0,9999
W ,Joab Gonzalez SS | CLE ,0,.000,0,0,0,9999
W ,Elvis Perez SS | CLE ,0,.000,0,0,0,9999
W ,Billy Carlson SS | CHW ,0,.000,0,0,0,9999
W ,Shotaro Morii SS | ATH ,0,.000,0,0,0,9999
W ,Wilmer Reyes SS | NYM ,0,.000,0,0,0,9999
W ,Anthony Pereira SS | DET ,0,.000,0,0,0,9999
W ,Luis Lopez SS | CIN ,0,.000,0,0,0,9999
W ,JJ Wetherholt SS | STL ,0,.000,0,0,0,9999
W ,Jeter Downs SS | NYY ,0,.000,0,0,0,9999
W ,Harrison Ray SS | TOR ,0,.000,0,0,0,9999
W ,Tre Richardson SS | STL ,0,.000,0,0,0,9999
W ,Maikol Escotto SS | PIT ,0,.000,0,0,0,9999
W ,Channy Ortiz SS | ARI ,0,.000,0,0,0,9999
W ,Andruw Monasterio SS | MIL,0,.000,0,0,0,9999
W ,Layant Tapia SS | CHW ,0,.000,0,0,0,9999
W ,Stephen Perez SS | WAS ,0,.000,0,0,0,9999
W ,Joey Wong SS | SEA ,0,.000,0,0,0,9999
W ,Nick Allen SS | HOU ,0,.000,0,0,0,9999
W ,Cody Bohanek SS | NYM ,0,.000,0,0,0,9999
W ,Cory Thompson SS | STL ,0,.000,0,0,0,9999
