Action,Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank
,W,Tyler Kinley P • ATL,58,60,0,0,0,5,3,6,2,11,62,28,49,4.78,1.32,588
,W,Dylan Floro P • ARI,63,64,0,0,0,6,5,3,1,10,52,17,67,4.1,1.32,589
,W,A.J. Blubaugh P • HOU,32,11,3,0,0,3,1,0,1,0,35,11,17,1.69,0.88,591
,W,Lake Bachar P • MIA,47,37,1,0,0,5,2,2,1,6,51,20,38,3.96,1.22,592
,W,Javier Assad P • CHC,84,19,14,4,0,5,3,0,0,1,68,33,78,3.54,1.32,593
,Gashou...,Gabe Speier P • SEA,48,60,0,0,0,2,2,0,3,18,64,12,37,3.33,1.01,595
,W,Mason Fluharty P • TOR,52,55,0,0,0,5,2,1,2,6,56,24,36,4.44,1.14,598
,W,Cade Gibson P • MIA,54,44,1,0,0,4,5,0,2,5,43,21,44,2.63,1.19,599
,W,Chris Martin P • TEX,44,49,0,0,0,3,4,2,3,16,46,6,45,2.64,1.15,601
,W,Justin Slaten P • BOS,42,39,0,0,0,4,3,3,3,9,37,10,34,3.64,1.05,603
,W,Logan Taylor Allen P • CLE,132,26,25,6,0,8,9,0,0,0,108,53,138,4.49,1.44,612
,W,Wandy Peralta P • SD,57,62,0,0,0,5,2,1,1,9,48,25,50,3.28,1.3,616
,Magnum...,Adrian Houser P • TB,105,22,17,7,0,6,5,0,0,0,79,35,107,4.03,1.35,617
,W,Fernando Cruz P • NYY,57,57,1,0,0,3,5,1,1,16,88,28,43,4.42,1.25,618
,W,Paul Sewald P • DET,33,37,0,0,0,1,2,13,3,2,39,11,29,4.05,1.2,619
,W,Adbert Alzolay P • NYM,35,34,0,0,0,1,4,11,4,3,35,9,32,3.28,1.15,621
,W,Andrew Heaney P • LAD,138,30,26,7,0,6,10,0,0,0,121,44,141,4.81,1.34,622
,W,Pedro Avila P • CLE,69,38,2,0,0,4,1,1,0,1,71,32,61,3.62,1.33,623
,W,Steven Matz P • BOS,72,35,6,1,0,4,3,1,2,6,59,16,73,3.72,1.22,624
,W,Drew Smyly P • CHC,91,46,9,2,0,7,9,0,3,6,90,37,93,4.61,1.42,625
,W,Albert Suarez P • BAL,57,15,10,3,0,5,3,0,0,0,47,17,54,3.45,1.24,628
,MAGA D...,Michael McGreevy P • STL,68,12,11,5,0,6,2,0,0,0,43,13,68,4.08,1.19,630
,Long B...,Tyler Mahle P • TEX,52,10,10,4,0,3,3,0,0,0,42,17,43,2.42,1.15,635
,W,Jalen Beeks P • ARI,58,58,3,0,0,5,3,4,4,10,49,22,52,4.34,1.28,636
,W,Scott Barlow P • CIN,63,69,0,0,0,4,4,4,1,15,74,39,50,4.24,1.4,638
,W,Luis Morales P • ATH,48,10,9,3,0,4,3,0,0,0,43,18,38,3.14,1.15,640
,Dawg,Brad Keller P • CHC,56,41,3,0,0,3,3,2,2,12,53,24,45,3.21,1.23,641
,W,Caleb Thielbar P • CHC,49,58,0,0,0,3,3,1,2,18,51,15,39,3.49,1.1,643
,W,Drew VerHagen P • STL,61,60,0,0,0,5,1,0,1,14,60,26,52,3.98,1.28,644
,W,Troy Melton P • DET,45,16,4,1,0,3,2,0,0,4,36,15,31,2.76,1.01,645
