#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
215,Kyle Leahy,STL,7,9,0,47,19,137.2,7.02,3.35,1.15,0.299,71.70%,44.00%,4.37,4.46,0.7
216,Devin Williams,NYM,4,3,32,64,0,64,11.42,3.92,0.84,0.287,76.40%,42.70%,3.14,3.24,0.7
217,Robert Suarez,,3,3,0,67,0,67,9.65,2.86,1.03,0.293,74.90%,41.40%,3.48,3.53,0.7
218,Hunter Harvey,,3,2,0,50,0,50,10.01,2.74,0.95,0.295,74.20%,42.50%,3.41,3.33,0.7
219,Rhett Lowder,CIN,5,6,0,37,11,90.1,7.34,2.97,1.3,0.301,71.20%,45.70%,4.5,4.51,0.7
220,Jonah Tong,NYM,3,3,0,8,8,44.1,9.77,3.89,1,0.29,74.60%,44.50%,3.67,3.8,0.7
221,Trevor McDonald,SFG,6,7,0,30,16,107,6.77,3,0.96,0.303,70.90%,52.00%,4.15,4.19,0.7
222,Tyler Anderson,,8,10,0,26,26,144,6.86,3.55,1.46,0.287,71.00%,33.80%,4.88,5.02,0.7
223,Tanner Scott,LAD,3,3,31,63,0,63,10.46,3.73,1.01,0.292,76.20%,44.50%,3.43,3.64,0.7
224,Chase Dollander,COL,6,10,0,24,24,133,7.54,4.03,1.48,0.31,68.40%,41.30%,5.43,5.11,0.7
225,Fernando Cruz,NYY,3,3,1,61,0,61,11.86,3.97,1.03,0.284,76.70%,37.10%,3.35,3.42,0.7
226,David Festa,MIN,3,3,0,37,3,51.2,9.66,2.9,1.08,0.296,73.80%,40.40%,3.7,3.64,0.7
227,Walker Buehler,,7,9,0,24,24,130,7.12,3.65,1.33,0.299,69.90%,42.80%,4.91,4.85,0.7
228,Stephen Kolek,KCR,4,5,0,41,8,79.2,6.59,2.72,0.92,0.311,70.80%,51.50%,4.14,4.06,0.7
229,Hunter Barco,PIT,4,4,0,40,6,71,8.26,3.64,1.02,0.296,73.10%,44.10%,3.99,4.14,0.7
230,Steven Matz,,3,3,0,65,0,65,8.39,2.2,1.05,0.295,73.80%,43.90%,3.57,3.62,0.7
231,Orion Kerkering,PHI,3,3,1,62,0,62,9.81,3.39,0.96,0.293,74.70%,44.80%,3.51,3.63,0.7
232,Jonathan Cannon,CHW,6,9,0,35,21,128.2,6.66,3.23,1.49,0.291,70.70%,40.30%,4.87,5.02,0.7
233,Adrian Morejon,SDP,4,3,3,68,0,68,9.26,3,0.92,0.294,75.30%,45.20%,3.35,3.49,0.7
234,Matt Strahm,PHI,3,3,1,63,0,63,10.2,2.78,1.26,0.281,75.50%,31.10%,3.64,3.75,0.7
235,Ryan Helsley,BAL,3,3,25,64,0,64,10.64,3.46,1.02,0.293,75.80%,40.20%,3.46,3.49,0.7
236,Pete Fairbanks,,3,3,0,60,0,60,9.57,3.18,0.98,0.292,74.30%,42.50%,3.56,3.6,0.7
237,Carmen Mlodzinski,PIT,4,4,1,68,2,74.1,8.37,3.04,0.92,0.302,72.90%,46.30%,3.76,3.74,0.7
238,Matt Brash,SEA,3,3,2,63,0,63,10.74,3.53,0.8,0.29,76.60%,46.30%,3.04,3.21,0.7
239,Garrett Cleavinger,TBR,3,3,4,62,0,62,11.13,3.46,1.05,0.295,76.00%,41.60%,3.44,3.5,0.7
240,Alek Manoah,,6,7,0,19,19,107.2,7.56,3.66,1.32,0.294,70.40%,39.20%,4.74,4.77,0.6
241,Brandon Sproat,NYM,4,4,0,24,10,69,7.3,3.37,1.06,0.293,72.10%,48.00%,4.1,4.31,0.6
242,Jordan Wicks,CHC,4,3,0,53,3,68,8.32,2.7,1.06,0.295,74.50%,45.90%,3.64,3.81,0.6
243,Randy Vásquez,SDP,8,11,0,29,29,161.1,6.16,3.34,1.43,0.291,69.90%,39.90%,4.95,5.1,0.6
244,Richard Fitts,STL,7,9,0,24,24,130.2,6.52,2.87,1.31,0.296,70.80%,42.50%,4.58,4.65,0.6
245,Jose A. Ferrer,WSN,3,3,27,68,0,68,8.11,2.9,0.78,0.302,74.30%,52.90%,3.38,3.57,0.6
246,Kyle Harrison,BOS,4,5,0,42,8,78.1,8.97,3.38,1.24,0.296,72.80%,38.90%,4.2,4.2,0.6
247,Lucas Erceg,KCR,3,3,2,62,0,62,9.08,3.31,0.84,0.302,73.70%,46.50%,3.56,3.59,0.6
248,Quinn Mathews,STL,5,6,0,25,15,93,7.84,4.38,1.04,0.294,73.10%,45.20%,4.2,4.49,0.6
249,Duncan Davitt,CHW,6,9,0,31,19,122.2,6.47,3.03,1.47,0.29,70.70%,41.50%,4.78,4.97,0.6
250,Carson Whisenhunt,SFG,5,6,0,23,15,89.1,7.04,3.23,1.17,0.296,71.80%,44.30%,4.34,4.46,0.6
251,Alex Vesia,LAD,3,3,5,62,0,62,11.09,3.78,1.29,0.275,76.90%,30.20%,3.67,3.92,0.6
252,Mick Abel,MIN,6,7,0,53,13,110.2,8.24,3.94,1.16,0.298,71.80%,42.60%,4.4,4.41,0.6
253,Keider Montero,DET,5,7,0,47,13,105,7.5,3.09,1.3,0.294,71.60%,40.90%,4.44,4.5,0.6
254,Ricky Tiedemann,TOR,3,3,0,22,8,60.1,9.12,3.94,1.15,0.295,73.70%,42.30%,4.09,4.23,0.6
255,Gabe Speier,SEA,3,3,0,62,0,62,10.31,2.77,0.99,0.287,76.10%,41.30%,3.21,3.33,0.6
256,Bryce Elder,ATL,4,4,0,26,10,70.2,7.53,2.89,1.12,0.311,70.90%,48.20%,4.37,4.16,0.6
257,Robert Gasser,MIL,3,3,0,39,5,61,8.4,2.72,1.25,0.288,73.30%,39.20%,3.98,4.16,0.6
258,Spencer Turnbull,,4,6,0,15,15,80.2,6.76,3.65,1.25,0.298,70.00%,44.70%,4.78,4.81,0.6
259,Blake Treinen,LAD,3,3,4,60,0,60,9.93,3.4,1.1,0.295,74.10%,42.50%,3.77,3.77,0.6
260,Camilo Doval,NYY,3,3,2,64,0,64,10.3,4.21,0.85,0.295,75.10%,47.90%,3.46,3.62,0.6
261,Aaron Bummer,ATL,3,3,1,61,0,61,9.22,3.4,0.71,0.312,74.10%,54.70%,3.4,3.42,0.5
262,Luke Little,CHC,3,3,0,60,0,60,10.51,4.94,0.76,0.296,76.20%,49.80%,3.36,3.75,0.5
263,Ronny Henriquez,MIA,3,3,9,66,0,66,9.32,3.35,0.99,0.295,73.50%,43.70%,3.73,3.74,0.5
264,Dylan Lee,ATL,4,3,2,67,0,67,9.88,2.73,1.18,0.293,75.80%,37.20%,3.59,3.64,0.5
265,A.J. Minter,NYM,3,3,4,63,0,63,10.27,3.25,1.01,0.284,76.30%,38.30%,3.33,3.5,0.5
266,Robert Garcia,TEX,3,3,23,64,0,64,9.85,3.23,1.02,0.293,75.80%,42.10%,3.47,3.61,0.5
267,Jared Koenig,MIL,3,3,1,65,0,65,9.48,3.2,0.99,0.294,75.40%,43.30%,3.48,3.66,0.5
268,Hayden Birdsong,SFG,5,7,0,32,16,101.2,8.79,4.36,1.23,0.291,72.20%,38.70%,4.47,4.57,0.5
269,John Means,,7,10,0,24,24,138,6.83,2.78,1.59,0.285,71.10%,32.90%,4.82,4.97,0.5
