#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
104,Bo Naylor,CLE,104,406,16,46,48,4,10.70%,24.50%,0.186,0.257,0.22,0.307,0.406,0.311,100,-0.4,-0.5,6.9,2.1
105,Tyler Soderstrom,ATH,106,463,22,60,67,5,8.70%,22.30%,0.216,0.292,0.259,0.329,0.475,0.345,119,-0.6,9.9,-5.1,2.1
106,Munetaka Murakami,CHW,136,587,32,75,86,8,12.60%,29.00%,0.227,0.275,0.23,0.333,0.457,0.339,118,-0.9,11.5,-11,2.1
107,Seiya Suzuki,CHC,128,557,23,71,77,7,10.50%,25.40%,0.2,0.308,0.254,0.335,0.454,0.34,121,-1.1,12.5,-10.4,2.1
108,Alec Bohm,PHI,124,532,14,61,67,3,6.90%,15.60%,0.15,0.304,0.275,0.33,0.425,0.328,108,-1,4.3,-1.3,2.1
109,Caleb Durbin,BOS,110,445,9,51,47,18,7.40%,11.00%,0.139,0.283,0.267,0.339,0.407,0.328,106,1,4.2,1.1,2.1
110,Vinnie Pasquantino,KCR,127,560,25,73,82,1,8.80%,15.00%,0.213,0.274,0.267,0.337,0.481,0.349,122,-1.9,12.7,-11.5,2.1
111,Ryan Jeffers,MIN,109,462,16,55,55,2,9.40%,21.00%,0.172,0.283,0.245,0.329,0.417,0.326,108,-1.1,3.4,1.9,2.1
112,Alec Burleson,STL,124,541,20,66,73,6,7.10%,14.00%,0.177,0.291,0.278,0.333,0.455,0.34,121,-1.3,12,-9.7,2.1
113,Ozzie Albies,ATL,133,546,17,64,66,10,7.60%,15.00%,0.162,0.278,0.258,0.319,0.42,0.321,105,0.2,3.3,-1.3,2.1
114,J.P. Crawford,SEA,123,506,10,55,47,5,11.90%,19.50%,0.119,0.289,0.241,0.337,0.36,0.311,106,-0.7,2.7,0.1,2.1
115,Freddy Fermin,SDP,102,393,10,42,41,3,7.00%,19.60%,0.129,0.29,0.249,0.306,0.378,0.299,94,-0.2,-2.8,9.4,2
116,Joey Ortiz,MIL,126,480,10,53,49,12,7.70%,16.90%,0.133,0.284,0.25,0.313,0.383,0.305,95,0.8,-1.9,5.5,2
117,Nolan Schanuel,LAA,121,546,15,71,57,6,11.80%,13.70%,0.15,0.29,0.27,0.364,0.42,0.344,120,-1.6,11.4,-10.7,2
118,Jung Hoo Lee,SFG,110,468,8,52,51,8,7.70%,11.40%,0.137,0.294,0.273,0.334,0.41,0.324,110,0.4,6.1,-2.3,2
119,Anthony Volpe,NYY,104,429,13,50,48,16,7.90%,23.60%,0.168,0.276,0.231,0.296,0.399,0.302,94,1.5,-1.6,6.1,2
120,Nolan Arenado,ARI,126,525,16,58,64,3,7.00%,14.80%,0.159,0.274,0.257,0.313,0.416,0.314,100,-0.8,-0.9,2.6,2
121,Jarren Duran,BOS,128,577,15,74,65,20,8.10%,23.50%,0.179,0.32,0.258,0.325,0.437,0.33,107,3.2,8.2,-9.2,1.9
122,TJ Friedl,CIN,111,512,14,67,48,10,10.20%,17.10%,0.146,0.28,0.249,0.34,0.395,0.325,104,0.3,2.4,-1,1.9
123,Jake Cronenworth,SDP,131,545,13,59,57,4,10.50%,19.90%,0.14,0.277,0.236,0.328,0.376,0.312,103,-0.6,1.5,-1.2,1.9
