#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
177,Garrett Whitlock,BOS,4,3,3,70,0,70,9.94,2.65,0.96,0.302,74.10%,43.40%,3.47,3.32,0.8
178,Max Scherzer,TOR,4,4,0,28,10,71,9.11,2.34,1.49,0.282,73.20%,31.00%,4.15,4.16,0.8
179,Ryan Feltner,COL,5,8,0,34,16,107.1,7.49,3.45,1.37,0.315,68.80%,43.10%,5.13,4.72,0.8
180,José Alvarado,PHI,3,3,3,64,0,64,10.4,3.68,0.88,0.295,76.30%,47.30%,3.26,3.43,0.8
181,Rhett Lowder,CIN,5,6,0,35,13,95.1,7.28,2.98,1.31,0.299,71.30%,45.60%,4.49,4.54,0.8
182,Drew Anderson,DET,4,4,0,55,3,70.1,9.92,3.29,0.98,0.298,73.60%,41.60%,3.67,3.58,0.8
183,Connelly Early,BOS,3,3,0,27,5,49.1,9.28,3.24,0.9,0.301,74.10%,48.20%,3.55,3.61,0.8
184,Jeff Hoffman,TOR,3,3,26,63,0,63,10.93,3.22,1.05,0.286,75.70%,37.10%,3.4,3.44,0.8
185,Mick Abel,MIN,7,9,0,39,21,133,7.97,4.08,1.19,0.3,71.20%,42.60%,4.59,4.56,0.8
186,Will Vest,DET,4,3,5,68,0,68,9.21,2.81,0.8,0.299,74.70%,48.10%,3.26,3.29,0.8
187,Trevor Megill,MIL,3,3,11,66,0,66,11.12,3.25,1.03,0.289,75.30%,37.10%,3.42,3.35,0.8
188,Andrés Muñoz,SEA,4,3,28,64,0,64,11.37,3.63,0.76,0.29,77.00%,46.90%,2.92,3.06,0.8
189,Louis Varland,TOR,4,3,2,67,0,67,9.23,2.38,1,0.297,74.90%,46.40%,3.38,3.44,0.8
190,Luis Gil,NYY,6,6,0,51,11,102.1,9.43,4.08,1.32,0.281,74.10%,34.60%,4.2,4.43,0.8
191,J.T. Ginn,ATH,3,3,0,30,6,59,8.4,2.96,1.02,0.302,72.60%,49.00%,3.88,3.89,0.8
192,Germán Márquez,SDP,7,9,0,33,23,131.1,7.01,2.96,1.43,0.296,71.00%,40.20%,4.7,4.74,0.7
193,Devin Williams,NYM,4,3,32,64,0,64,11.45,3.92,0.83,0.286,76.60%,42.70%,3.11,3.23,0.7
