#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
192,Matt Brash,SEA,3,3,4,60,0,60.2,10.66,3.5,0.75,0.299,75.50%,,3.18,3.16,0.7
193,José Alvarado,PHI,5,3,4,56,0,57,10.13,3.35,0.88,0.302,73.90%,,3.52,3.39,0.7
194,Randy Vásquez,SDP,6,8,0,29,23,128,6.09,3.25,1.32,0.285,68.60%,,4.8,4.94,0.7
195,Trevor Megill,MIL,4,3,20,61,0,62.2,10.79,3.15,1.03,0.292,74.60%,,3.45,3.38,0.7
196,Josh Hader,HOU,4,3,27,50,0,52,12.16,3.27,1.19,0.269,76.60%,,3.25,3.36,0.7
197,Cody Bradford,TEX,4,4,0,26,8,62.2,7.87,2.08,1.32,0.284,68.70%,,4.23,4.08,0.7
198,J.T. Ginn,ATH,3,4,0,26,8,65,8.53,3.16,1.11,0.296,70.40%,,4.21,4.08,0.7
199,Joe Boyle,TBR,4,4,0,19,12,69,9.72,4.83,1.03,0.279,71.10%,,4.19,4.24,0.7
200,Pete Fairbanks,MIA,3,4,26,59,0,60.2,9.18,3.16,0.92,0.285,73.40%,,3.53,3.58,0.7
201,Jose A. Ferrer,SEA,4,2,3,63,0,65.1,8.34,2.47,0.68,0.293,71.70%,,3.38,3.25,0.7
202,Ryan Walker,SFG,4,4,23,60,0,61.2,9.39,2.82,0.81,0.303,72.40%,,3.53,3.37,0.7
203,Gabe Speier,SEA,3,3,1,61,0,58,10.64,2.56,0.98,0.286,72.90%,,3.35,3.18,0.7
204,Andrew Painter,PHI,5,6,0,25,17,96.2,7.55,3.4,1.4,0.292,70.40%,,4.66,4.7,0.7
205,Robert Suarez,ATL,4,5,11,64,0,66,9.4,2.68,1.04,0.288,72.90%,,3.6,3.55,0.6
206,Chase Dollander,COL,5,10,0,23,23,118.2,7.67,4.03,1.48,0.298,65.80%,,5.47,5.09,0.6
207,Chris Martin,TEX,3,3,7,50,0,50.2,8.88,1.92,1.02,0.298,73.60%,,3.47,3.39,0.6
208,Drew Anderson,DET,4,3,0,40,3,62.2,10.31,3.8,1.05,0.296,72.40%,,3.91,3.79,0.6
209,Kyle Harrison,MIL,3,3,0,25,10,68.2,9.09,3.57,1.24,0.291,71.20%,,4.26,4.24,0.6
210,Griffin Canning,SDP,6,6,0,26,17,99.2,7.89,3.42,1.35,0.287,71.10%,,4.46,4.57,0.6
211,Garrett Cleavinger,TBR,4,3,8,62,0,61.2,10.96,3.28,1.04,0.278,74.90%,,3.37,3.5,0.6
212,Jeff Hoffman,TOR,4,4,26,61,0,62,10.71,3.24,1.2,0.281,74.80%,,3.59,3.73,0.6
213,Troy Melton,DET,4,3,0,32,6,63.2,7.96,2.84,1.2,0.282,72.50%,,3.95,4.12,0.6
214,Ryan Weiss,HOU,4,5,0,31,9,75,8.75,3.54,1.2,0.292,70.50%,,4.33,4.28,0.6
215,Ryan Helsley,BAL,4,4,29,60,0,62.2,10.14,3.36,1.02,0.292,74.80%,,3.54,3.57,0.6
216,Kutter Crawford,BOS,5,5,0,42,6,77.1,8.8,2.54,1.39,0.281,69.40%,,4.26,4.15,0.6
217,Alex Vesia,LAD,4,3,2,61,0,60.2,11.19,3.64,1.21,0.278,75.70%,,3.56,3.75,0.6
218,Aaron Bummer,ATL,4,3,0,57,0,60.2,9.14,3.25,0.66,0.312,71.10%,,3.7,3.37,0.6
219,Richard Fitts,STL,5,7,0,28,18,103.1,6.91,2.9,1.32,0.285,70.50%,,4.43,4.6,0.6
220,Tanner Scott,LAD,4,4,5,62,0,63,10.1,3.65,0.98,0.289,74.60%,,3.55,3.67,0.6
221,Mick Abel,MIN,5,6,0,32,16,98.1,8.19,4.05,1.2,0.292,69.00%,,4.68,4.54,0.6
222,Stephen Kolek,KCR,4,3,0,31,8,70,6.51,2.82,0.92,0.298,69.00%,,4.27,4.14,0.6
223,Tomoyuki Sugano,COL,6,8,0,20,20,115,5.75,2.2,1.72,0.298,67.30%,,5.28,5.21,0.6
224,Fernando Cruz,NYY,3,4,1,57,0,58,12.06,4.12,1.1,0.295,74.70%,,3.65,3.56,0.6
225,Louis Varland,TOR,4,3,3,58,0,65,9.03,2.64,1.12,0.296,73.00%,,3.77,3.74,0.6
226,Colin Rea,CHC,5,5,0,35,9,82,7.29,2.56,1.34,0.288,70.50%,,4.35,4.44,0.6
227,Daniel Palencia,CHC,3,3,29,62,0,64.1,9.96,3.66,0.95,0.29,72.70%,,3.71,3.67,0.6
228,Payton Tolle,BOS,3,3,0,27,6,53.2,9.14,3.02,1.31,0.285,71.70%,,4.1,4.1,0.5
229,Bryan King,HOU,4,3,1,62,0,63.1,8.91,2.55,1.04,0.29,73.10%,,3.61,3.67,0.5
230,Raisel Iglesias,ATL,4,3,26,62,0,63.1,9.52,2.38,1.12,0.291,72.70%,,3.64,3.53,0.5
231,Jon Gray,,3,3,0,11,9,52,7.7,2.92,1.4,0.289,68.70%,,4.65,4.53,0.5
232,Spencer Arrighetti,HOU,5,7,0,25,15,90.1,8.92,3.9,1.34,0.284,69.60%,,4.59,4.56,0.5
233,Edwin Uceta,TBR,5,3,12,61,0,66,10.68,3.26,1.15,0.285,73.20%,,3.69,3.7,0.5
234,Dylan Lee,ATL,3,3,2,63,0,65,9.86,2.46,1.25,0.291,75.00%,,3.59,3.63,0.5
235,Lucas Erceg,KCR,4,5,4,59,0,61.2,8.64,3.26,0.8,0.294,71.70%,,3.71,3.65,0.5
236,Jonah Tong,NYM,2,2,0,12,5,31.2,10.07,3.81,0.98,0.286,72.00%,,3.81,3.68,0.5
237,Caleb Thielbar,CHC,4,3,2,63,0,60.1,9.27,2.87,1.14,0.283,72.90%,,3.74,3.75,0.5
238,Jared Koenig,MIL,5,3,2,60,0,62.2,9.09,3.06,0.95,0.292,74.50%,,3.52,3.66,0.5
239,Camilo Doval,NYY,4,3,5,61,0,62,10.02,4.36,0.77,0.293,73.10%,,3.64,3.63,0.5
240,Aaron Ashby,MIL,4,3,1,56,0,67,9.31,4.05,0.72,0.299,73.60%,,3.6,3.62,0.5
241,Corbin Burnes,ARI,2,2,0,6,6,35,8.67,2.87,1,0.285,73.40%,,3.6,3.73,0.5
242,Alex Cobb,,3,2,0,8,6,36.1,7.31,2.88,0.98,0.298,71.60%,,4,3.98,0.5
243,Jordan Montgomery,TEX,3,3,0,16,8,52,7.03,2.9,1.17,0.295,68.80%,,4.5,4.32,0.5
