#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
288,Luisangel Acuña,CHW,98,345,4,40,28,19,5.90%,18.70%,0.096,0.292,0.245,0.292,0.341,0.278,76,1.3,-8.5,2,0.5
289,Alek Thomas,ARI,108,413,9,47,42,8,5.60%,23.10%,0.136,0.293,0.239,0.286,0.375,0.288,82,1,-8.1,-0.5,0.5
290,Connor Wong,BOS,60,221,5,24,20,3,6.70%,24.40%,0.126,0.294,0.233,0.293,0.359,0.287,78,-0.3,-6.1,3.6,0.5
291,Walker Jenkins,MIN,27,111,2,13,11,3,9.10%,22.30%,0.13,0.298,0.243,0.319,0.374,0.305,94,0,-0.8,2,0.5
292,Ben Williamson,TBR,60,233,2,25,21,5,6.60%,21.30%,0.091,0.312,0.249,0.305,0.339,0.285,81,-0.1,-5.4,2.6,0.5
293,Noelvi Marte,CIN,124,515,16,62,60,14,6.00%,23.10%,0.157,0.299,0.25,0.301,0.407,0.307,91,0.3,-5.4,-6.7,0.5
294,Darell Hernaiz,ATH,48,185,2,20,17,3,7.20%,15.40%,0.107,0.288,0.252,0.309,0.359,0.294,86,-0.1,-3.1,1.9,0.5
295,Matt Shaw,CHC,76,293,8,36,31,11,8.60%,20.40%,0.153,0.276,0.238,0.31,0.391,0.307,95,0.5,-1,-3.9,0.5
296,Tyler Heineman,TOR,42,145,3,15,13,2,7.80%,21.20%,0.109,0.264,0.217,0.295,0.326,0.278,77,-0.2,-4.2,4.2,0.5
297,Giancarlo Stanton,NYY,96,393,23,47,63,0,9.50%,31.30%,0.235,0.268,0.224,0.3,0.459,0.324,108,-1.3,2.3,-10.6,0.5
298,David Hamilton,MIL,53,186,5,23,17,16,8.00%,25.10%,0.137,0.261,0.211,0.276,0.348,0.275,75,1.5,-4.1,2.8,0.5
299,Will Benson,CIN,61,224,8,28,27,5,9.60%,30.50%,0.19,0.287,0.222,0.3,0.411,0.308,92,-0.2,-2.3,-0.2,0.5
300,Jorge Soler,LAA,116,472,21,55,58,1,10.30%,27.20%,0.197,0.271,0.226,0.313,0.423,0.32,104,-1.5,0.7,-12,0.5
301,Rafael Marchán,PHI,45,160,3,16,16,1,7.90%,17.10%,0.104,0.261,0.227,0.298,0.331,0.28,76,-0.3,-4.9,4.4,0.5
302,Amed Rosario,NYY,66,251,5,28,26,5,4.30%,18.40%,0.12,0.302,0.259,0.295,0.378,0.293,86,0.6,-3.5,-0.1,0.5
303,Travis Bazzana,CLE,53,214,5,26,20,4,11.00%,28.40%,0.13,0.292,0.216,0.31,0.347,0.294,88,-0.1,-3.1,0.5,0.5
304,Ryan Waldschmidt,ARI,44,176,4,21,18,5,10.20%,21.40%,0.129,0.297,0.243,0.331,0.372,0.312,98,0,-0.4,-0.7,0.5
305,Jimmy Crooks,STL,28,101,2,10,11,0,6.90%,26.80%,0.119,0.303,0.233,0.293,0.352,0.284,80,-0.1,-2.6,3.9,0.5
306,Matt Vierling,DET,62,246,6,28,25,4,7.70%,23.40%,0.133,0.297,0.241,0.305,0.375,0.298,89,0,-3.1,-0.7,0.5
307,Brady House,WSN,122,490,12,50,53,6,4.60%,27.90%,0.128,0.313,0.24,0.279,0.369,0.281,78,-0.4,-13.2,1.6,0.5
308,Leo Rivas,SEA,44,148,2,17,12,6,12.60%,24.80%,0.084,0.286,0.215,0.321,0.299,0.284,87,0.3,-2,1.6,0.5
309,Miguel Rojas,LAD,47,171,3,19,16,3,6.60%,14.30%,0.111,0.275,0.248,0.303,0.359,0.291,85,-0.1,-3.2,2.1,0.5
310,James McCann,ARI,52,192,5,20,23,1,5.60%,25.90%,0.137,0.298,0.237,0.289,0.375,0.289,83,-0.5,-4.4,2.6,0.5
311,Coby Mayo,BAL,42,158,6,19,18,1,8.60%,28.60%,0.182,0.287,0.227,0.301,0.408,0.308,98,-0.1,-0.4,-0.5,0.5
312,Andrew Benintendi,CHW,120,494,16,54,57,3,8.50%,17.30%,0.155,0.27,0.246,0.312,0.402,0.31,98,-0.9,-2.2,-9.9,0.5
313,Gary Sánchez,MIL,44,166,7,18,23,0,8.00%,27.00%,0.183,0.256,0.216,0.294,0.399,0.303,94,-0.4,-1.6,0.6,0.5
314,Mark Vientos,NYM,108,446,19,51,60,1,7.00%,26.30%,0.189,0.287,0.24,0.298,0.429,0.314,100,-1,-0.9,-9.6,0.5
315,Hunter Feduccia,TBR,74,256,5,25,24,2,10.40%,25.80%,0.112,0.281,0.216,0.299,0.328,0.28,77,-0.4,-7.4,3.2,0.5
316,Dominic Canzone,SEA,103,406,15,45,49,4,7.30%,23.30%,0.17,0.278,0.238,0.297,0.408,0.304,101,-0.7,-0.4,-9.1,0.5
317,Kevin Alcántara,CHC,19,54,1,6,6,1,7.60%,29.50%,0.135,0.307,0.229,0.29,0.364,0.287,82,0,-1.2,3.6,0.4
318,Jake Fraley,TBR,96,359,8,41,36,11,9.00%,20.90%,0.13,0.283,0.237,0.312,0.368,0.3,91,0.1,-3.9,-3.9,0.4
319,Luke Raley,SEA,75,281,9,33,32,5,7.30%,30.10%,0.163,0.288,0.219,0.299,0.382,0.3,98,-0.3,-1.1,-4.4,0.4
320,Alan Roden,MIN,49,179,3,21,17,3,8.10%,18.90%,0.124,0.291,0.247,0.322,0.37,0.306,94,-0.1,-1.3,-0.7,0.4
321,José Fermín,STL,52,178,3,20,16,6,9.90%,13.60%,0.111,0.268,0.241,0.33,0.352,0.305,94,0.1,-1.2,-0.7,0.4
322,Javier Báez,DET,87,333,8,35,38,5,3.70%,24.20%,0.13,0.283,0.231,0.268,0.361,0.273,72,0.3,-10.6,3.2,0.4
323,Blake Perkins,MIL,57,219,4,25,20,7,9.70%,27.00%,0.114,0.288,0.217,0.296,0.331,0.279,78,0.3,-5.5,2.2,0.4
324,Triston Casas,BOS,45,186,7,21,24,0,11.80%,25.20%,0.187,0.284,0.236,0.33,0.423,0.326,105,-0.5,0.7,-3.1,0.4
325,Mickey Moniak,COL,117,473,20,61,65,9,5.20%,25.20%,0.21,0.305,0.256,0.299,0.466,0.326,95,-0.4,-3,-8.9,0.4
326,Jake Mangum,PIT,80,314,2,32,28,13,4.60%,16.80%,0.087,0.323,0.272,0.31,0.359,0.294,85,0.5,-5.1,-1.4,0.4
327,Drew Millas,WSN,36,126,2,13,12,3,7.40%,16.70%,0.105,0.281,0.242,0.3,0.346,0.284,80,0.1,-2.9,2.6,0.4
328,Owen Caissie,MIA,111,411,12,46,45,5,9.20%,30.90%,0.155,0.316,0.231,0.306,0.387,0.303,92,-0.3,-4.3,-5.4,0.4
329,Dane Myers,CIN,63,234,6,26,24,8,6.90%,25.50%,0.129,0.306,0.241,0.301,0.37,0.295,83,0.2,-4.5,0.6,0.4
330,Mauricio Dubón,ATL,90,338,5,36,33,3,5.00%,12.60%,0.103,0.276,0.253,0.292,0.356,0.283,79,-0.3,-8.6,1.2,0.4
331,Zach Cole,HOU,93,364,12,42,41,10,8.50%,37.70%,0.172,0.316,0.211,0.286,0.383,0.291,86,0.1,-6,-2.7,0.4
332,Ryan Ritter,COL,54,206,4,24,21,3,7.10%,26.40%,0.136,0.323,0.245,0.312,0.381,0.304,80,0,-4.8,1.8,0.4
333,César Salazar,HOU,51,147,3,14,13,1,8.30%,20.60%,0.103,0.244,0.204,0.292,0.307,0.271,72,-0.2,-5.1,3.8,0.4
334,Thomas Saggese,STL,64,249,5,27,25,3,5.90%,25.70%,0.119,0.312,0.241,0.293,0.36,0.287,82,-0.2,-5.6,0.9,0.4
335,Andy Ibáñez,ATH,54,185,4,19,19,3,6.90%,20.10%,0.129,0.283,0.239,0.3,0.368,0.294,87,-0.4,-3.3,0.7,0.4
336,Jake McCarthy,COL,91,356,6,44,32,14,6.40%,17.40%,0.125,0.305,0.261,0.319,0.386,0.309,84,1.4,-5.6,-2.6,0.4
337,Jeremiah Jackson,BAL,59,238,7,27,26,3,5.20%,23.90%,0.149,0.288,0.238,0.281,0.387,0.29,85,-0.2,-4.3,-0.3,0.4
338,Daniel Schneemann,CLE,55,209,5,23,20,4,9.30%,27.40%,0.139,0.281,0.217,0.293,0.356,0.287,83,-0.2,-4.3,0.7,0.4
339,Sung-Mun Song,SDP,65,259,5,27,26,5,7.50%,17.20%,0.119,0.267,0.235,0.294,0.354,0.284,80,0.1,-6.2,0.9,0.4
340,Graham Pauley,MIA,82,307,8,32,31,4,8.50%,21.40%,0.141,0.262,0.222,0.294,0.363,0.289,82,-0.2,-6.6,0,0.4
341,Joshua Baez,STL,45,121,4,15,14,7,8.80%,26.20%,0.174,0.293,0.235,0.312,0.409,0.313,100,0.8,0.8,-1.3,0.4
342,Tyler Fitzgerald,SFG,23,87,2,9,8,3,6.10%,29.70%,0.142,0.291,0.219,0.274,0.362,0.278,76,0.2,-2.3,2.8,0.4
343,Rob Refsnyder,SEA,62,233,7,27,27,3,10.00%,26.40%,0.153,0.302,0.238,0.323,0.39,0.313,107,-0.3,1.5,-6.1,0.4
344,CJ Kayfus,CLE,76,296,8,34,34,4,8.70%,27.50%,0.158,0.302,0.232,0.307,0.391,0.305,96,-0.1,-1.5,-5.2,0.3
345,Liam Hicks,MIA,85,320,4,31,30,2,10.40%,15.80%,0.099,0.275,0.24,0.333,0.339,0.302,91,-0.6,-3.8,-3.5,0.3
346,Moisés Ballesteros,CHC,89,342,10,38,40,2,8.30%,18.40%,0.152,0.295,0.26,0.325,0.412,0.319,104,-0.6,1,-9.2,0.3
347,José Tena,WSN,70,266,4,27,25,8,7.00%,25.40%,0.114,0.315,0.242,0.298,0.356,0.288,83,0,-5.4,-0.1,0.3
348,Pavin Smith,ARI,99,398,12,46,47,3,11.80%,25.60%,0.159,0.293,0.235,0.326,0.394,0.316,101,-1,-0.6,-9.4,0.3
349,Brett Harris,ATH,46,167,4,18,16,2,8.20%,21.50%,0.125,0.273,0.228,0.303,0.353,0.291,85,-0.2,-3.2,0.9,0.3
350,Anthony Santander,TOR,29,124,6,15,17,0,9.20%,23.10%,0.201,0.25,0.225,0.306,0.426,0.317,104,-0.3,0.3,-1.2,0.3
351,Thairo Estrada,BAL,37,148,4,16,15,1,4.30%,19.20%,0.133,0.281,0.245,0.283,0.379,0.288,84,-0.1,-2.8,0.9,0.3
352,Paul Goldschmidt,NYY,89,362,11,43,39,4,8.00%,22.40%,0.152,0.297,0.249,0.312,0.401,0.31,98,-0.7,-1.8,-7.4,0.3
353,Jonah Heim,ATL,35,132,3,13,15,0,7.20%,20.00%,0.128,0.256,0.223,0.28,0.351,0.278,75,-0.3,-4.1,2.8,0.3
354,Jordan Beck,COL,131,538,15,64,58,16,7.80%,28.70%,0.159,0.328,0.248,0.309,0.407,0.312,85,0.4,-8.9,-6,0.3
355,Ryan Mountcastle,BAL,46,187,6,21,23,1,6.00%,24.70%,0.157,0.312,0.256,0.303,0.414,0.31,99,-0.1,-0.3,-3.2,0.3
356,Nick Loftin,KCR,37,136,2,14,13,2,8.90%,16.30%,0.112,0.265,0.234,0.309,0.346,0.291,85,-0.1,-2.6,1,0.3
357,Nathan Church,STL,53,184,3,21,18,4,6.10%,16.20%,0.11,0.278,0.244,0.299,0.355,0.287,82,0,-3.9,0.7,0.3
358,Christopher Morel,MIA,87,332,13,39,40,6,9.10%,30.10%,0.184,0.285,0.221,0.299,0.405,0.307,94,0.1,-2.1,-5.9,0.3
359,Angel Martínez,CLE,66,259,6,28,25,4,6.20%,21.30%,0.132,0.275,0.231,0.285,0.363,0.283,81,0.1,-5.7,-0.3,0.3
360,Trey Sweeney,DET,21,76,2,8,7,1,8.00%,27.10%,0.149,0.269,0.214,0.279,0.363,0.282,78,0,-2,2.2,0.3
361,Rhys Hoskins,CLE,94,379,15,42,47,2,10.80%,27.20%,0.182,0.268,0.22,0.312,0.401,0.312,100,-1.1,-0.9,-9.3,0.3
362,J.C. Escarra,NYY,43,148,3,15,15,1,8.90%,19.20%,0.122,0.255,0.219,0.295,0.341,0.282,78,-0.2,-4,1.7,0.3
363,Jett Williams,MIL,39,159,4,19,15,6,9.50%,26.20%,0.142,0.288,0.223,0.304,0.366,0.296,89,0.1,-2,-0.6,0.3
364,Mitch Garver,SEA,31,119,4,13,14,0,10.70%,28.30%,0.163,0.252,0.203,0.3,0.366,0.296,95,-0.3,-1.1,-0.3,0.3
365,Christian Vázquez,,42,153,3,14,14,1,6.20%,19.50%,0.1,0.263,0.224,0.277,0.324,0.266,67,-0.5,-6.3,3.8,0.3
366,Emmanuel Rodriguez,MIN,13,52,1,7,5,1,14.10%,34.10%,0.142,0.322,0.215,0.328,0.357,0.307,95,0,-0.3,1.1,0.3
367,Jesus Rodriguez,SFG,12,46,0,5,4,1,7.90%,16.20%,0.08,0.309,0.262,0.323,0.343,0.295,88,0,-0.7,1.7,0.3
368,Ezequiel Duran,TEX,78,285,5,30,26,9,5.10%,24.10%,0.121,0.294,0.235,0.28,0.356,0.278,77,0,-7.6,0.3,0.3
369,Zack Gelof,ATH,42,161,5,20,17,5,8.10%,33.50%,0.158,0.301,0.217,0.284,0.375,0.288,83,0.3,-2.9,0.1,0.3
370,Randal Grichuk,NYY,46,171,6,20,21,0,6.30%,20.90%,0.185,0.272,0.243,0.295,0.427,0.311,98,-0.2,-0.5,-2.7,0.3
371,Jorge Mateo,ATL,44,153,3,19,13,12,5.40%,27.30%,0.135,0.291,0.223,0.269,0.358,0.273,72,1.2,-3.9,1.3,0.3
372,Hyeseong Kim,LAD,48,167,3,19,16,8,5.50%,24.80%,0.107,0.321,0.248,0.294,0.355,0.284,80,0.7,-3.2,0.1,0.3
373,Alex Jackson,MIN,15,50,2,6,6,0,6.60%,32.90%,0.159,0.269,0.199,0.262,0.358,0.272,71,-0.1,-1.8,2.5,0.3
374,Ryan Kreidler,MIN,24,83,1,8,6,3,9.50%,31.90%,0.105,0.277,0.192,0.279,0.297,0.261,64,0,-3.5,3,0.2
375,Jesse Winker,,67,263,7,30,28,4,12.40%,22.30%,0.144,0.283,0.234,0.337,0.378,0.316,102,-0.9,-0.3,-6.2,0.2
376,Otto Kemp,PHI,62,239,7,29,28,4,6.90%,28.50%,0.159,0.306,0.235,0.308,0.394,0.306,94,-0.2,-2,-3.6,0.2
377,Leo Jiménez,TOR,36,121,3,13,12,1,7.40%,22.90%,0.12,0.283,0.23,0.308,0.35,0.293,87,-0.2,-2.1,0.2,0.2
378,Max Kepler,,36,144,5,17,17,1,8.90%,20.30%,0.166,0.263,0.234,0.307,0.4,0.308,96,-0.3,-1,-1.6,0.2
379,Esteury Ruiz,MIA,34,108,2,14,10,9,7.70%,23.90%,0.124,0.297,0.233,0.308,0.357,0.294,86,0.7,-1.1,-0.2,0.2
380,Tim Tawa,ARI,52,193,5,21,20,4,7.70%,25.90%,0.142,0.279,0.222,0.287,0.364,0.286,80,-0.1,-4.5,0.4,0.2
381,Daniel Susac,SFG,23,88,2,8,9,1,5.30%,28.90%,0.12,0.3,0.227,0.275,0.347,0.272,72,-0.1,-3,2.3,0.2
382,Kristian Campbell,BOS,32,123,3,14,12,2,9.30%,25.80%,0.126,0.317,0.243,0.326,0.369,0.309,93,-0.1,-1.1,-0.9,0.2
383,Christian Koss,SFG,31,112,2,13,11,2,5.10%,23.50%,0.108,0.299,0.237,0.287,0.345,0.278,76,0,-3.2,1.5,0.2
384,Jose Iglesias,,46,160,2,16,15,2,5.20%,17.00%,0.087,0.299,0.254,0.304,0.341,0.286,81,-0.2,-3.8,0.6,0.2
385,Endy Rodríguez,PIT,24,88,2,10,9,0,8.00%,22.10%,0.121,0.288,0.233,0.297,0.354,0.287,80,-0.1,-2.2,1.4,0.2
386,Jonny DeLuca,TBR,73,279,6,30,28,10,6.70%,21.20%,0.135,0.272,0.228,0.288,0.363,0.285,80,0.4,-6.1,-1.2,0.2
